timestamp,smoke,voc,co,flame,temp,hum,label,scenario,filename,humid
3583331,97,509,244,2,22.84,55.1,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3583431,98,509,245,1,22.85,55.09,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3583531,97,509,244,0,22.84,55.1,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3583631,97,509,243,2,22.86,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3583731,95,508,244,2,22.86,55.1,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3583831,97,509,244,2,22.85,55.11,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3583931,97,509,245,0,22.85,55.09,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3584031,95,509,245,0,22.86,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3584131,96,508,243,0,22.86,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3584231,97,508,244,0,22.86,55.08,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3584331,98,508,243,2,22.86,55.11,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3584431,97,509,245,0,22.87,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3584531,96,509,245,2,22.86,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3584631,98,508,243,1,22.87,55.08,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3584731,98,508,245,1,22.87,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3584831,98,509,245,0,22.89,55.07,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3584931,95,508,245,0,22.88,55.08,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3585031,95,508,244,1,22.87,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3585131,98,509,245,1,22.88,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3585231,98,509,244,2,22.87,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3585331,96,509,244,2,22.88,55.07,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3585431,98,509,245,2,22.89,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3585531,98,509,245,0,22.88,55.07,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3585631,97,508,245,2,22.88,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3585731,98,508,244,1,22.87,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3585831,95,508,243,3,22.89,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3585931,97,509,245,0,22.87,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3586031,95,508,245,0,22.88,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3586131,98,508,245,2,22.89,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3586231,98,509,244,2,22.88,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3586331,96,509,245,1,22.89,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3586431,96,509,245,0,22.89,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3586531,97,508,243,1,22.9,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3586631,97,508,245,0,22.9,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3586731,98,509,244,0,22.9,55.01,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3586831,97,508,245,1,22.91,55.02,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3586931,98,509,245,2,22.9,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3587031,98,509,244,2,22.9,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3587131,97,509,244,2,22.9,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3587231,97,509,244,1,22.91,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
