time_ms,sensor,value
4043,CO,92.0
5054,CO,93.0
6065,CO,95.0
7076,CO,90.0
8087,CO,89.0
9098,CO,86.0
10109,CO,86.0
11121,CO,85.0
12133,CO,85.0
13145,CO,84.0
14157,CO,82.0
15169,CO,82.0
16181,CO,80.0
17193,CO,78.0
18205,CO,79.0
19217,CO,80.0
20229,CO,80.0
21241,CO,79.0
22253,CO,79.0
23265,CO,80.0
24277,CO,86.0
25289,CO,84.0
26301,CO,84.0
27313,CO,83.0
28325,CO,83.0
29337,CO,83.0
30349,CO,79.0
31361,CO,80.0
32373,CO,81.0
33385,CO,82.0
34397,CO,80.0
35409,CO,81.0
36421,CO,82.0
37433,CO,79.0
38445,CO,82.0
39457,CO,84.0
40469,CO,80.0
41481,CO,82.0
42493,CO,82.0
43505,CO,84.0
44517,CO,81.0
45529,CO,80.0
46541,CO,82.0
47553,CO,82.0
48565,CO,83.0
49577,CO,83.0
50589,CO,81.0
51601,CO,83.0
52613,CO,80.0
53625,CO,81.0
54637,CO,80.0
55649,CO,78.0
56661,CO,80.0
57673,CO,79.0
58685,CO,80.0
59697,CO,77.0
60709,CO,77.0
61721,CO,78.0
62733,CO,76.0
63745,CO,76.0
64757,CO,78.0
65769,CO,83.0
66781,CO,82.0
67793,CO,81.0
68805,CO,79.0
69817,CO,79.0
70829,CO,77.0
71841,CO,79.0
72853,CO,79.0
73865,CO,81.0
74877,CO,84.0
75889,CO,82.0
76901,CO,81.0
77913,CO,82.0
78925,CO,80.0
79937,CO,80.0
80949,CO,78.0
81961,CO,77.0
82973,CO,79.0
83985,CO,79.0
84997,CO,79.0
86009,CO,78.0
87021,CO,77.0
88033,CO,76.0
89045,CO,77.0
90057,CO,76.0
91069,CO,79.0
92081,CO,78.0
93093,CO,77.0
94105,CO,75.0
95117,CO,76.0
96129,CO,76.0
97141,CO,75.0
98153,CO,76.0
99165,CO,77.0
100177,CO,77.0
101190,CO,77.0
102203,CO,76.0
103216,CO,78.0
104229,CO,78.0
105242,CO,75.0
106255,CO,79.0
107268,CO,78.0
108281,CO,79.0
109294,CO,78.0
110307,CO,81.0
111320,CO,81.0
112333,CO,85.0
113346,CO,81.0
114359,CO,79.0
115372,CO,79.0
116385,CO,79.0
117398,CO,77.0
118411,CO,77.0
119424,CO,78.0
120437,CO,77.0
121450,CO,79.0
122463,CO,79.0
123476,CO,80.0
124489,CO,80.0
125502,CO,80.0
126515,CO,78.0
127528,CO,79.0
128541,CO,80.0
129554,CO,77.0
130567,CO,75.0
131580,CO,77.0
132593,CO,76.0
133606,CO,75.0
134619,CO,91.0
135632,CO,93.0
136645,CO,87.0
137658,CO,85.0
138671,CO,82.0
139684,CO,79.0
140697,CO,77.0
141710,CO,78.0
142723,CO,78.0
143736,CO,75.0
144749,CO,77.0
145762,CO,76.0
146775,CO,76.0
147788,CO,76.0
148801,CO,75.0
149814,CO,76.0
150827,CO,77.0
151840,CO,75.0
152853,CO,76.0
153866,CO,76.0
154879,CO,76.0
155892,CO,78.0
156905,CO,74.0
157918,CO,76.0
158931,CO,77.0
159944,CO,81.0
160957,CO,79.0
161970,CO,78.0
162983,CO,76.0
163996,CO,76.0
165009,CO,81.0
166022,CO,80.0
167035,CO,78.0
168048,CO,79.0
169061,CO,79.0
170074,CO,77.0
171087,CO,76.0
172100,CO,76.0
173113,CO,75.0
174126,CO,76.0
175139,CO,76.0
176152,CO,76.0
177165,CO,75.0
178178,CO,76.0
179191,CO,78.0
180204,CO,79.0
181217,CO,80.0
182230,CO,79.0
183243,CO,80.0
184256,CO,79.0
185269,CO,78.0
186282,CO,76.0
187295,CO,78.0
188308,CO,80.0
189321,CO,80.0
190334,CO,79.0
191347,CO,84.0
192360,CO,83.0
193373,CO,81.0
194386,CO,82.0
195399,CO,81.0
196412,CO,81.0
197425,CO,81.0
198438,CO,82.0
199451,CO,81.0
200464,CO,81.0
201477,CO,84.0
202490,CO,82.0
203503,CO,81.0
204516,CO,81.0
205529,CO,81.0
206542,CO,81.0
207555,CO,82.0
208568,CO,80.0
209581,CO,81.0
210594,CO,82.0
211607,CO,79.0
212620,CO,81.0
213633,CO,80.0
214646,CO,78.0
215659,CO,79.0
216672,CO,76.0
217685,CO,76.0
218698,CO,77.0
219711,CO,75.0
220724,CO,76.0
221737,CO,74.0
222750,CO,74.0
223763,CO,76.0
224776,CO,75.0
225789,CO,74.0
226802,CO,73.0
227815,CO,75.0
228828,CO,73.0
229841,CO,72.0
230854,CO,70.0
231867,CO,70.0
232880,CO,74.0
233893,CO,74.0
234906,CO,71.0
235919,CO,74.0
236932,CO,73.0
237945,CO,74.0
238958,CO,74.0
239971,CO,75.0
240984,CO,77.0
241997,CO,73.0
243010,CO,76.0
244023,CO,75.0
245036,CO,73.0
246049,CO,74.0
247062,CO,74.0
248075,CO,74.0
249088,CO,75.0
250101,CO,74.0
251114,CO,75.0
252127,CO,73.0
253140,CO,74.0
254153,CO,73.0
255166,CO,74.0
256179,CO,75.0
257192,CO,76.0
258205,CO,77.0
259218,CO,75.0
260231,CO,77.0
261244,CO,74.0
262257,CO,76.0
263270,CO,75.0
264283,CO,78.0
265296,CO,76.0
266309,CO,79.0
267322,CO,80.0
268335,CO,77.0
269348,CO,78.0
270361,CO,79.0
271374,CO,79.0
272387,CO,80.0
273400,CO,80.0
274413,CO,81.0
275426,CO,81.0
276439,CO,81.0
277452,CO,82.0
278465,CO,79.0
279478,CO,80.0
280491,CO,81.0
281504,CO,82.0
282517,CO,84.0
283530,CO,85.0
284543,CO,87.0
285556,CO,87.0
286569,CO,89.0
287582,CO,87.0
288595,CO,90.0
289608,CO,90.0
290621,CO,91.0
291634,CO,94.0
292647,CO,92.0
293660,CO,91.0
294673,CO,94.0
295686,CO,94.0
296699,CO,93.0
297712,CO,93.0
298725,CO,90.0
299738,CO,89.0
300751,CO,87.0
301764,CO,87.0
302777,CO,86.0
303790,CO,86.0
304803,CO,84.0
305816,CO,84.0
306829,CO,84.0
307842,CO,86.0
308855,CO,85.0
309868,CO,86.0
310881,CO,88.0
311894,CO,90.0
312907,CO,88.0
313920,CO,89.0
314933,CO,88.0
315946,CO,89.0
316959,CO,89.0
317972,CO,88.0
318985,CO,87.0
319998,CO,92.0
321011,CO,90.0
322024,CO,88.0
323037,CO,88.0
324050,CO,87.0
325063,CO,88.0
326076,CO,87.0
327089,CO,87.0
328102,CO,85.0
329115,CO,83.0
330128,CO,79.0
331141,CO,81.0
332154,CO,78.0
333167,CO,78.0
334180,CO,79.0
335193,CO,79.0
336206,CO,79.0
337219,CO,81.0
338232,CO,80.0
339245,CO,79.0
340258,CO,81.0
341271,CO,82.0
342284,CO,81.0
343297,CO,82.0
344310,CO,82.0
345323,CO,81.0
346336,CO,82.0
347349,CO,81.0
348362,CO,84.0
349375,CO,83.0
350388,CO,82.0
351401,CO,80.0
352414,CO,80.0
353427,CO,82.0
354440,CO,85.0
355453,CO,82.0
356466,CO,84.0
357479,CO,80.0
358492,CO,81.0
359505,CO,80.0
360518,CO,81.0
361531,CO,81.0
362544,CO,81.0
363557,CO,81.0
364570,CO,80.0
365583,CO,80.0
366596,CO,79.0
367609,CO,77.0
368622,CO,79.0
369635,CO,77.0
370648,CO,78.0
371661,CO,79.0
372674,CO,80.0
373687,CO,79.0
374700,CO,80.0
375713,CO,80.0
376726,CO,81.0
377739,CO,81.0
378752,CO,78.0
379765,CO,79.0
380778,CO,79.0
381791,CO,83.0
382804,CO,84.0
383817,CO,80.0
384830,CO,80.0
385843,CO,79.0
386856,CO,79.0
387869,CO,77.0
388882,CO,78.0
389895,CO,79.0
390908,CO,78.0
391921,CO,75.0
392934,CO,76.0
393947,CO,73.0
394960,CO,73.0
395973,CO,74.0
396986,CO,74.0
397999,CO,72.0
399012,CO,72.0
400025,CO,73.0
401038,CO,74.0
402051,CO,73.0
403064,CO,73.0
404077,CO,72.0
405090,CO,74.0
406103,CO,75.0
407116,CO,72.0
408129,CO,73.0
409142,CO,72.0
410155,CO,76.0
411168,CO,116.0
412182,CO,123.0
413196,CO,112.0
414210,CO,105.0
415224,CO,96.0
416237,CO,92.0
417250,CO,86.0
418263,CO,86.0
419276,CO,83.0
420289,CO,81.0
421302,CO,80.0
422315,CO,80.0
423328,CO,78.0
424341,CO,78.0
425354,CO,78.0
426367,CO,79.0
427380,CO,79.0
428393,CO,78.0
429406,CO,78.0
430419,CO,81.0
431432,CO,81.0
432445,CO,78.0
433458,CO,81.0
434471,CO,77.0
435484,CO,78.0
436497,CO,80.0
437510,CO,92.0
438523,CO,91.0
439536,CO,93.0
440549,CO,99.0
441562,CO,94.0
442575,CO,88.0
443588,CO,86.0
444601,CO,83.0
445614,CO,82.0
446627,CO,81.0
447640,CO,79.0
448653,CO,77.0
449666,CO,78.0
450679,CO,78.0
451692,CO,77.0
452705,CO,77.0
453718,CO,77.0
454731,CO,77.0
455744,CO,77.0
456757,CO,76.0
457770,CO,76.0
458783,CO,78.0
459796,CO,76.0
460809,CO,76.0
461822,CO,73.0
462835,CO,75.0
463848,CO,73.0
464861,CO,74.0
465874,CO,74.0
466887,CO,75.0
467900,CO,74.0
468913,CO,75.0
469926,CO,75.0
470939,CO,73.0
471952,CO,75.0
472965,CO,74.0
473978,CO,72.0
474991,CO,72.0
476004,CO,75.0
477017,CO,73.0
478030,CO,74.0
479043,CO,73.0
480056,CO,74.0
481069,CO,74.0
482082,CO,74.0
483095,CO,73.0
484108,CO,74.0
485121,CO,73.0
486134,CO,73.0
487147,CO,72.0
488160,CO,76.0
489173,CO,74.0
490186,CO,73.0
491199,CO,72.0
492212,CO,70.0
493225,CO,71.0
494238,CO,72.0
495251,CO,72.0
496264,CO,70.0
497277,CO,72.0
498290,CO,70.0
499303,CO,72.0
500316,CO,71.0
501329,CO,71.0
502342,CO,71.0
503355,CO,69.0
504368,CO,70.0
505381,CO,72.0
506394,CO,71.0
507407,CO,72.0
508420,CO,71.0
509433,CO,71.0
510446,CO,70.0
511459,CO,72.0
512472,CO,70.0
513485,CO,71.0
514498,CO,70.0
515511,CO,70.0
516524,CO,71.0
517537,CO,72.0
518550,CO,71.0
519563,CO,68.0
520576,CO,73.0
521589,CO,76.0
522602,CO,73.0
523615,CO,73.0
524628,CO,73.0
525641,CO,73.0
526654,CO,72.0
527667,CO,72.0
528680,CO,74.0
529693,CO,71.0
530706,CO,72.0
531719,CO,72.0
532732,CO,73.0
533745,CO,71.0
534758,CO,72.0
535771,CO,81.0
536784,CO,92.0
537797,CO,86.0
538810,CO,81.0
539823,CO,77.0
540836,CO,77.0
541849,CO,76.0
542862,CO,75.0
543875,CO,74.0
544888,CO,72.0
545901,CO,73.0
546914,CO,71.0
547927,CO,72.0
548940,CO,70.0
549953,CO,71.0
550966,CO,72.0
551979,CO,73.0
552992,CO,72.0
554005,CO,73.0
555018,CO,71.0
556031,CO,74.0
557044,CO,72.0
558057,CO,74.0
