time_ms,sensor,value
3032,CO,81.0
4043,CO,81.0
5054,CO,159.0
6066,CO,358.0
7078,CO,240.0
8090,CO,174.0
9102,CO,296.0
10114,CO,237.0
11127,CO,170.0
12140,CO,420.0
13153,CO,509.0
14166,CO,317.0
15179,CO,223.0
16192,CO,391.0
17205,CO,499.0
18218,CO,402.0
19231,CO,303.0
20244,CO,247.0
21257,CO,456.0
22270,CO,478.0
23283,CO,335.0
24296,CO,258.0
25309,CO,231.0
26322,CO,440.0
27335,CO,500.0
28348,CO,430.0
29361,CO,357.0
30374,CO,294.0
31387,CO,228.0
32400,CO,324.0
33413,CO,459.0
34426,CO,504.0
35439,CO,486.0
36452,CO,378.0
37465,CO,312.0
38478,CO,261.0
39491,CO,454.0
40504,CO,501.0
41517,CO,395.0
42530,CO,304.0
43543,CO,276.0
44556,CO,399.0
45569,CO,489.0
46582,CO,512.0
47595,CO,403.0
48608,CO,305.0
49621,CO,299.0
50634,CO,301.0
51647,CO,305.0
52660,CO,244.0
53673,CO,435.0
54686,CO,525.0
55699,CO,550.0
56712,CO,390.0
57725,CO,261.0
58738,CO,212.0
