time_ms,sensor,value
3035,CO,114.0
4047,CO,114.0
5059,CO,114.0
6071,CO,113.0
7083,CO,119.0
8095,CO,120.0
9107,CO,125.0
10119,CO,124.0
11132,CO,123.0
12145,CO,124.0
13158,CO,125.0
14171,CO,124.0
15184,CO,123.0
16197,CO,120.0
17210,CO,121.0
18223,CO,121.0
19236,CO,119.0
20249,CO,118.0
21262,CO,115.0
22275,CO,115.0
23288,CO,115.0
24301,CO,112.0
25314,CO,114.0
26327,CO,113.0
27340,CO,114.0
28353,CO,113.0
29366,CO,114.0
30379,CO,116.0
31392,CO,115.0
32405,CO,119.0
33418,CO,118.0
34431,CO,117.0
35444,CO,117.0
36457,CO,116.0
37470,CO,113.0
38483,CO,113.0
39496,CO,115.0
40509,CO,115.0
41522,CO,114.0
42535,CO,112.0
43548,CO,111.0
44561,CO,112.0
45574,CO,113.0
46587,CO,115.0
47600,CO,115.0
48613,CO,115.0
49626,CO,115.0
50639,CO,115.0
51652,CO,117.0
52665,CO,116.0
53678,CO,116.0
54691,CO,114.0
55704,CO,114.0
56717,CO,118.0
57730,CO,114.0
58743,CO,114.0
59756,CO,113.0
60769,CO,116.0
61782,CO,112.0
62795,CO,112.0
63808,CO,114.0
64821,CO,115.0
65834,CO,116.0
66847,CO,116.0
67860,CO,115.0
68873,CO,116.0
69886,CO,117.0
70899,CO,115.0
71912,CO,116.0
72925,CO,116.0
73938,CO,115.0
74951,CO,115.0
75964,CO,111.0
76977,CO,113.0
77990,CO,114.0
79003,CO,112.0
80016,CO,114.0
81029,CO,113.0
82042,CO,112.0
83055,CO,112.0
84068,CO,112.0
85081,CO,111.0
86094,CO,111.0
87107,CO,114.0
88120,CO,112.0
89133,CO,112.0
90146,CO,114.0
91159,CO,115.0
92172,CO,114.0
93185,CO,114.0
94198,CO,114.0
95211,CO,114.0
96224,CO,115.0
97237,CO,113.0
98250,CO,116.0
99263,CO,116.0
100276,CO,116.0
101290,CO,116.0
102304,CO,117.0
103318,CO,116.0
104332,CO,117.0
105346,CO,117.0
106360,CO,118.0
107374,CO,117.0
108388,CO,117.0
109402,CO,117.0
110416,CO,118.0
111430,CO,117.0
112444,CO,120.0
113458,CO,124.0
114472,CO,129.0
115486,CO,127.0
116500,CO,126.0
117514,CO,127.0
118528,CO,126.0
119542,CO,126.0
120556,CO,125.0
121570,CO,124.0
122584,CO,121.0
123598,CO,120.0
124612,CO,120.0
125626,CO,121.0
126640,CO,120.0
127654,CO,121.0
128668,CO,120.0
129682,CO,118.0
130696,CO,119.0
131710,CO,119.0
132724,CO,120.0
133738,CO,119.0
134752,CO,119.0
135766,CO,119.0
136780,CO,118.0
137794,CO,117.0
138808,CO,120.0
139822,CO,117.0
140836,CO,120.0
141850,CO,121.0
142864,CO,121.0
143878,CO,125.0
144892,CO,124.0
145906,CO,120.0
146920,CO,122.0
147934,CO,119.0
148948,CO,119.0
149962,CO,118.0
150976,CO,120.0
151990,CO,119.0
153004,CO,120.0
154018,CO,119.0
155032,CO,119.0
156046,CO,118.0
157060,CO,118.0
158074,CO,118.0
159088,CO,116.0
160102,CO,118.0
161116,CO,119.0
162130,CO,118.0
163144,CO,120.0
164158,CO,119.0
165172,CO,119.0
166186,CO,126.0
167200,CO,128.0
168214,CO,124.0
169228,CO,127.0
170242,CO,126.0
171256,CO,126.0
172270,CO,126.0
173284,CO,126.0
174298,CO,122.0
175312,CO,122.0
176326,CO,119.0
177340,CO,120.0
178354,CO,118.0
179368,CO,121.0
180382,CO,121.0
181396,CO,121.0
182410,CO,121.0
183424,CO,121.0
184438,CO,124.0
185452,CO,124.0
186466,CO,123.0
187480,CO,122.0
188494,CO,120.0
189508,CO,123.0
190522,CO,124.0
191536,CO,125.0
192550,CO,127.0
193564,CO,129.0
194578,CO,130.0
195592,CO,125.0
196606,CO,126.0
197620,CO,124.0
198634,CO,123.0
199648,CO,123.0
200662,CO,124.0
201676,CO,122.0
202690,CO,122.0
203704,CO,124.0
204718,CO,121.0
205732,CO,121.0
206746,CO,123.0
207760,CO,122.0
208774,CO,120.0
209788,CO,120.0
210802,CO,121.0
211816,CO,121.0
212830,CO,122.0
213844,CO,122.0
214858,CO,120.0
215872,CO,121.0
216886,CO,119.0
217900,CO,122.0
218914,CO,123.0
219928,CO,124.0
220942,CO,126.0
221956,CO,125.0
222970,CO,125.0
223984,CO,123.0
224998,CO,124.0
226012,CO,125.0
227026,CO,123.0
228040,CO,123.0
229054,CO,124.0
230068,CO,123.0
231082,CO,124.0
232096,CO,125.0
233110,CO,124.0
234124,CO,124.0
235138,CO,124.0
236152,CO,125.0
237166,CO,124.0
238180,CO,125.0
239194,CO,124.0
240208,CO,123.0
241222,CO,122.0
242236,CO,125.0
243250,CO,128.0
244264,CO,127.0
245278,CO,129.0
246292,CO,127.0
247306,CO,125.0
248320,CO,125.0
249334,CO,125.0
250348,CO,129.0
251362,CO,129.0
252376,CO,129.0
253390,CO,130.0
254404,CO,131.0
255418,CO,132.0
256432,CO,132.0
257446,CO,130.0
258460,CO,130.0
259474,CO,130.0
260488,CO,129.0
261502,CO,126.0
262516,CO,128.0
263530,CO,125.0
264544,CO,127.0
265558,CO,126.0
266572,CO,126.0
267586,CO,124.0
268600,CO,126.0
269614,CO,128.0
270628,CO,127.0
271642,CO,126.0
272656,CO,128.0
273670,CO,128.0
274684,CO,126.0
275698,CO,126.0
276712,CO,124.0
277726,CO,126.0
278740,CO,125.0
279754,CO,124.0
280768,CO,125.0
281782,CO,123.0
282796,CO,127.0
283810,CO,127.0
284824,CO,125.0
285838,CO,126.0
286852,CO,127.0
287866,CO,124.0
288880,CO,126.0
289894,CO,127.0
290908,CO,125.0
291922,CO,125.0
292936,CO,126.0
293950,CO,127.0
294964,CO,126.0
295978,CO,124.0
296992,CO,124.0
298006,CO,124.0
299020,CO,125.0
300034,CO,124.0
301048,CO,125.0
302062,CO,127.0
303076,CO,125.0
304090,CO,127.0
305104,CO,126.0
306118,CO,127.0
307132,CO,127.0
308146,CO,128.0
309160,CO,127.0
310174,CO,128.0
311188,CO,130.0
312202,CO,128.0
313216,CO,128.0
314230,CO,129.0
315244,CO,128.0
316258,CO,127.0
317272,CO,127.0
318286,CO,129.0
319300,CO,128.0
320314,CO,128.0
321328,CO,126.0
322342,CO,127.0
323356,CO,131.0
324370,CO,130.0
325384,CO,131.0
326398,CO,132.0
327412,CO,132.0
328426,CO,133.0
329440,CO,132.0
330454,CO,130.0
331468,CO,130.0
332482,CO,131.0
333496,CO,130.0
334510,CO,127.0
335524,CO,129.0
336538,CO,129.0
337552,CO,129.0
338566,CO,127.0
339580,CO,127.0
340594,CO,129.0
341608,CO,130.0
342622,CO,129.0
343636,CO,128.0
344650,CO,127.0
345664,CO,128.0
346678,CO,129.0
347692,CO,129.0
348706,CO,128.0
349720,CO,130.0
350734,CO,127.0
351748,CO,130.0
352762,CO,127.0
353776,CO,129.0
354790,CO,128.0
355804,CO,130.0
356818,CO,130.0
357832,CO,131.0
358846,CO,132.0
359860,CO,128.0
360874,CO,131.0
361888,CO,130.0
362902,CO,132.0
363916,CO,133.0
364930,CO,132.0
365944,CO,131.0
366958,CO,130.0
367972,CO,132.0
368986,CO,131.0
370000,CO,130.0
371014,CO,129.0
372028,CO,131.0
373042,CO,132.0
374056,CO,135.0
375070,CO,134.0
376084,CO,135.0
377098,CO,138.0
378112,CO,135.0
379126,CO,134.0
380140,CO,133.0
381154,CO,133.0
382168,CO,131.0
383182,CO,133.0
384196,CO,133.0
385210,CO,134.0
386224,CO,133.0
387238,CO,131.0
388252,CO,129.0
389266,CO,130.0
390280,CO,132.0
391294,CO,136.0
392308,CO,139.0
