time_ms,sensor,value
7103,Flame,306.0
8118,Flame,294.0
9133,Flame,276.0
10148,Flame,294.0
11164,Flame,355.0
12180,Flame,320.0
13196,Flame,299.0
14212,Flame,292.0
15228,Flame,295.0
16244,Flame,299.0
17260,Flame,302.0
18276,Flame,347.0
19292,Flame,299.0
20308,Flame,316.0
21324,Flame,254.0
22340,Flame,312.0
23356,Flame,266.0
24372,Flame,297.0
25388,Flame,281.0
26404,Flame,286.0
27420,Flame,332.0
28436,Flame,292.0
29452,Flame,330.0
30468,Flame,292.0
31484,Flame,358.0
32500,Flame,282.0
33516,Flame,275.0
34532,Flame,287.0
35548,Flame,235.0
36564,Flame,309.0
37580,Flame,299.0
38596,Flame,268.0
39612,Flame,271.0
40628,Flame,255.0
41644,Flame,283.0
42660,Flame,302.0
43676,Flame,206.0
44692,Flame,350.0
45708,Flame,328.0
46724,Flame,284.0
47740,Flame,325.0
48756,Flame,179.0
49772,Flame,219.0
50788,Flame,301.0
51804,Flame,271.0
52820,Flame,297.0
53836,Flame,294.0
54852,Flame,275.0
55868,Flame,216.0
56884,Flame,79.0
57899,Flame,340.0
58915,Flame,233.0
59931,Flame,191.0
60947,Flame,150.0
61963,Flame,158.0
62979,Flame,275.0
63995,Flame,265.0
65011,Flame,303.0
66027,Flame,277.0
67043,Flame,277.0
68059,Flame,245.0
69075,Flame,260.0
70091,Flame,260.0
71107,Flame,273.0
72123,Flame,264.0
73139,Flame,259.0
74155,Flame,266.0
75171,Flame,172.0
76187,Flame,126.0
77203,Flame,230.0
78219,Flame,272.0
79235,Flame,252.0
80251,Flame,273.0
81267,Flame,236.0
82283,Flame,240.0
83299,Flame,265.0
84315,Flame,251.0
85331,Flame,222.0
86347,Flame,278.0
87363,Flame,247.0
88379,Flame,235.0
89395,Flame,270.0
90411,Flame,278.0
91427,Flame,168.0
92443,Flame,279.0
93459,Flame,266.0
94475,Flame,278.0
95491,Flame,277.0
96507,Flame,274.0
97523,Flame,281.0
98539,Flame,320.0
99555,Flame,272.0
100571,Flame,285.0
101588,Flame,334.0
102605,Flame,266.0
103622,Flame,300.0
104639,Flame,289.0
105656,Flame,276.0
106673,Flame,285.0
107690,Flame,278.0
108707,Flame,295.0
109724,Flame,262.0
110741,Flame,216.0
111758,Flame,254.0
112775,Flame,295.0
113792,Flame,299.0
114809,Flame,301.0
115826,Flame,208.0
116843,Flame,234.0
117860,Flame,297.0
118877,Flame,294.0
119894,Flame,273.0
120911,Flame,273.0
121928,Flame,288.0
122945,Flame,231.0
123962,Flame,259.0
124979,Flame,169.0
125996,Flame,245.0
127013,Flame,285.0
128030,Flame,276.0
129047,Flame,277.0
130064,Flame,252.0
131081,Flame,314.0
132098,Flame,276.0
133115,Flame,316.0
134132,Flame,192.0
135149,Flame,212.0
136166,Flame,257.0
137183,Flame,280.0
138200,Flame,214.0
139217,Flame,243.0
140234,Flame,254.0
141251,Flame,260.0
142268,Flame,236.0
143285,Flame,189.0
144302,Flame,255.0
145319,Flame,227.0
146336,Flame,250.0
147353,Flame,272.0
148370,Flame,271.0
149387,Flame,262.0
150404,Flame,250.0
151421,Flame,245.0
152438,Flame,246.0
153455,Flame,261.0
154472,Flame,243.0
155489,Flame,279.0
156506,Flame,191.0
157523,Flame,262.0
158540,Flame,254.0
159557,Flame,277.0
160574,Flame,221.0
161591,Flame,195.0
162608,Flame,282.0
163625,Flame,252.0
164642,Flame,256.0
165659,Flame,268.0
166676,Flame,251.0
167693,Flame,271.0
168710,Flame,250.0
169727,Flame,230.0
170744,Flame,247.0
171761,Flame,224.0
172778,Flame,257.0
173795,Flame,260.0
174812,Flame,241.0
175829,Flame,238.0
176846,Flame,244.0
177863,Flame,272.0
178880,Flame,208.0
179897,Flame,277.0
180914,Flame,229.0
181931,Flame,263.0
182948,Flame,250.0
183965,Flame,258.0
184982,Flame,232.0
185999,Flame,258.0
187016,Flame,258.0
188033,Flame,264.0
189050,Flame,235.0
190067,Flame,254.0
191084,Flame,296.0
192101,Flame,31.0
193117,Flame,232.0
194134,Flame,254.0
195151,Flame,275.0
196168,Flame,212.0
197185,Flame,269.0
198202,Flame,184.0
199219,Flame,105.0
200236,Flame,263.0
201253,Flame,262.0
202270,Flame,231.0
203287,Flame,10.0
204303,Flame,173.0
205320,Flame,194.0
206337,Flame,243.0
207354,Flame,221.0
208371,Flame,231.0
209388,Flame,217.0
210405,Flame,234.0
211422,Flame,230.0
212439,Flame,202.0
213456,Flame,228.0
214473,Flame,255.0
215490,Flame,245.0
216507,Flame,226.0
217524,Flame,244.0
218541,Flame,277.0
219558,Flame,233.0
220575,Flame,247.0
221592,Flame,235.0
222609,Flame,255.0
223626,Flame,266.0
224643,Flame,214.0
225660,Flame,252.0
226677,Flame,166.0
227694,Flame,157.0
228711,Flame,268.0
229728,Flame,246.0
230745,Flame,235.0
231762,Flame,177.0
232779,Flame,203.0
233796,Flame,228.0
234813,Flame,237.0
235830,Flame,85.0
236846,Flame,224.0
237863,Flame,216.0
238880,Flame,181.0
239897,Flame,27.0
240913,Flame,276.0
241930,Flame,266.0
242947,Flame,136.0
243964,Flame,97.0
244980,Flame,265.0
245997,Flame,245.0
247014,Flame,253.0
248031,Flame,235.0
249048,Flame,242.0
250065,Flame,200.0
251082,Flame,270.0
252099,Flame,241.0
253116,Flame,151.0
254133,Flame,191.0
255150,Flame,252.0
256167,Flame,287.0
257184,Flame,241.0
258201,Flame,139.0
259218,Flame,262.0
260235,Flame,257.0
261252,Flame,225.0
262269,Flame,211.0
263286,Flame,255.0
264303,Flame,221.0
265320,Flame,165.0
266337,Flame,209.0
267354,Flame,243.0
268371,Flame,259.0
269388,Flame,218.0
270405,Flame,247.0
271422,Flame,244.0
272439,Flame,263.0
273456,Flame,262.0
274473,Flame,258.0
275490,Flame,237.0
276507,Flame,249.0
277524,Flame,273.0
278541,Flame,234.0
279558,Flame,231.0
280575,Flame,295.0
281592,Flame,216.0
282609,Flame,273.0
283626,Flame,243.0
284643,Flame,288.0
285660,Flame,212.0
286677,Flame,242.0
287694,Flame,240.0
288711,Flame,236.0
289728,Flame,166.0
290745,Flame,224.0
291762,Flame,222.0
292779,Flame,218.0
293796,Flame,241.0
294813,Flame,235.0
295830,Flame,251.0
296847,Flame,239.0
297864,Flame,234.0
298881,Flame,207.0
299898,Flame,242.0
300915,Flame,221.0
301932,Flame,269.0
302949,Flame,261.0
303966,Flame,267.0
304983,Flame,225.0
306000,Flame,269.0
307017,Flame,216.0
308034,Flame,205.0
309051,Flame,230.0
310068,Flame,228.0
311085,Flame,221.0
312102,Flame,258.0
313119,Flame,225.0
314136,Flame,224.0
315153,Flame,222.0
316170,Flame,251.0
317187,Flame,229.0
318204,Flame,208.0
319221,Flame,258.0
320238,Flame,238.0
321255,Flame,264.0
322272,Flame,233.0
323289,Flame,238.0
