time_ms,sensor,value
6089,Flame,585.0
7104,Flame,573.0
8119,Flame,491.0
9134,Flame,505.0
10149,Flame,537.0
11165,Flame,475.0
12181,Flame,588.0
13197,Flame,482.0
14213,Flame,612.0
15229,Flame,617.0
16245,Flame,490.0
17261,Flame,490.0
18277,Flame,480.0
19293,Flame,478.0
20309,Flame,554.0
21325,Flame,470.0
22341,Flame,523.0
23357,Flame,527.0
24373,Flame,495.0
25389,Flame,472.0
26405,Flame,547.0
27421,Flame,453.0
28437,Flame,533.0
29453,Flame,442.0
30469,Flame,511.0
31485,Flame,539.0
32501,Flame,550.0
33517,Flame,500.0
34533,Flame,445.0
35549,Flame,489.0
36565,Flame,539.0
37581,Flame,614.0
38597,Flame,537.0
39613,Flame,508.0
40629,Flame,519.0
41645,Flame,231.0
42661,Flame,373.0
43677,Flame,459.0
44693,Flame,465.0
45709,Flame,377.0
46725,Flame,425.0
47741,Flame,446.0
48757,Flame,561.0
49773,Flame,644.0
50789,Flame,520.0
51805,Flame,561.0
52821,Flame,566.0
53837,Flame,624.0
54853,Flame,553.0
55869,Flame,550.0
56885,Flame,629.0
57901,Flame,554.0
58917,Flame,622.0
59933,Flame,660.0
60949,Flame,525.0
61965,Flame,457.0
62981,Flame,469.0
63997,Flame,555.0
65013,Flame,570.0
66029,Flame,621.0
67045,Flame,589.0
68061,Flame,530.0
69077,Flame,557.0
70093,Flame,560.0
71109,Flame,617.0
72125,Flame,515.0
73141,Flame,486.0
74157,Flame,409.0
75173,Flame,566.0
76189,Flame,417.0
77205,Flame,461.0
78221,Flame,592.0
79237,Flame,591.0
80253,Flame,672.0
81269,Flame,619.0
82285,Flame,612.0
83301,Flame,461.0
84317,Flame,536.0
85333,Flame,589.0
86349,Flame,576.0
87365,Flame,463.0
88381,Flame,502.0
89397,Flame,583.0
90413,Flame,570.0
91429,Flame,570.0
92445,Flame,660.0
93461,Flame,568.0
94477,Flame,555.0
95493,Flame,604.0
96509,Flame,493.0
97525,Flame,581.0
98541,Flame,610.0
99557,Flame,517.0
100573,Flame,709.0
101590,Flame,581.0
102607,Flame,590.0
103624,Flame,442.0
104641,Flame,607.0
105658,Flame,599.0
106675,Flame,572.0
107692,Flame,526.0
108709,Flame,572.0
109726,Flame,439.0
110743,Flame,589.0
111760,Flame,523.0
112777,Flame,579.0
113794,Flame,714.0
114811,Flame,715.0
115828,Flame,711.0
116845,Flame,721.0
117862,Flame,718.0
118879,Flame,694.0
119896,Flame,723.0
120913,Flame,699.0
121930,Flame,659.0
122947,Flame,660.0
123964,Flame,683.0
124981,Flame,702.0
125998,Flame,666.0
127015,Flame,700.0
128032,Flame,670.0
129049,Flame,651.0
130066,Flame,672.0
131083,Flame,633.0
132100,Flame,666.0
133117,Flame,618.0
134134,Flame,692.0
135151,Flame,682.0
136168,Flame,665.0
137185,Flame,678.0
138202,Flame,701.0
139219,Flame,719.0
140236,Flame,637.0
141253,Flame,666.0
142270,Flame,673.0
143287,Flame,661.0
144304,Flame,666.0
145321,Flame,640.0
146338,Flame,694.0
147355,Flame,712.0
148372,Flame,640.0
149389,Flame,745.0
150406,Flame,811.0
151423,Flame,738.0
152440,Flame,793.0
153457,Flame,567.0
154474,Flame,649.0
155491,Flame,715.0
156508,Flame,752.0
157525,Flame,528.0
158542,Flame,621.0
159559,Flame,404.0
160576,Flame,544.0
161593,Flame,677.0
162610,Flame,708.0
163627,Flame,689.0
164644,Flame,761.0
165661,Flame,690.0
166678,Flame,698.0
167695,Flame,737.0
168712,Flame,739.0
169729,Flame,760.0
170746,Flame,703.0
171763,Flame,776.0
172780,Flame,820.0
173797,Flame,704.0
174814,Flame,660.0
175831,Flame,696.0
176848,Flame,633.0
177865,Flame,701.0
178882,Flame,599.0
179899,Flame,585.0
180916,Flame,562.0
181933,Flame,602.0
182950,Flame,663.0
183967,Flame,617.0
184984,Flame,759.0
186001,Flame,714.0
187018,Flame,539.0
188035,Flame,591.0
189052,Flame,612.0
190069,Flame,640.0
191086,Flame,401.0
192103,Flame,619.0
193120,Flame,811.0
194137,Flame,796.0
195154,Flame,801.0
196171,Flame,551.0
197188,Flame,469.0
198205,Flame,707.0
199222,Flame,697.0
200239,Flame,625.0
201256,Flame,612.0
202273,Flame,687.0
203290,Flame,562.0
204307,Flame,704.0
205324,Flame,697.0
206341,Flame,616.0
207358,Flame,554.0
208375,Flame,648.0
209392,Flame,696.0
210409,Flame,739.0
211426,Flame,688.0
212443,Flame,674.0
213460,Flame,659.0
214477,Flame,669.0
215494,Flame,689.0
216511,Flame,720.0
217528,Flame,695.0
218545,Flame,666.0
219562,Flame,672.0
220579,Flame,698.0
221596,Flame,710.0
222613,Flame,683.0
223630,Flame,689.0
224647,Flame,670.0
225664,Flame,603.0
226681,Flame,673.0
227698,Flame,678.0
228715,Flame,656.0
229732,Flame,656.0
230749,Flame,715.0
231766,Flame,688.0
232783,Flame,681.0
233800,Flame,667.0
234817,Flame,615.0
235834,Flame,580.0
236851,Flame,663.0
237868,Flame,675.0
238885,Flame,667.0
239902,Flame,659.0
240919,Flame,666.0
241936,Flame,664.0
242953,Flame,685.0
243970,Flame,671.0
244987,Flame,710.0
246004,Flame,704.0
247021,Flame,751.0
248038,Flame,691.0
249055,Flame,657.0
250072,Flame,685.0
251089,Flame,697.0
252106,Flame,758.0
253123,Flame,725.0
254140,Flame,685.0
255157,Flame,728.0
256174,Flame,713.0
257191,Flame,686.0
258208,Flame,699.0
259225,Flame,674.0
260242,Flame,668.0
261259,Flame,677.0
262276,Flame,634.0
263293,Flame,672.0
264310,Flame,386.0
265327,Flame,333.0
266344,Flame,480.0
267361,Flame,682.0
268378,Flame,767.0
269395,Flame,474.0
270412,Flame,609.0
271429,Flame,689.0
272446,Flame,678.0
273463,Flame,571.0
274480,Flame,604.0
275497,Flame,686.0
276514,Flame,731.0
277531,Flame,716.0
278548,Flame,744.0
279565,Flame,717.0
280582,Flame,693.0
281599,Flame,721.0
282616,Flame,688.0
283633,Flame,697.0
284650,Flame,662.0
285667,Flame,688.0
286684,Flame,648.0
287701,Flame,700.0
288718,Flame,722.0
289735,Flame,730.0
290752,Flame,740.0
291769,Flame,774.0
292786,Flame,739.0
293803,Flame,762.0
294820,Flame,681.0
295837,Flame,712.0
296854,Flame,784.0
297871,Flame,685.0
298888,Flame,699.0
299905,Flame,771.0
300922,Flame,747.0
301939,Flame,776.0
302956,Flame,699.0
303973,Flame,725.0
304990,Flame,818.0
306007,Flame,785.0
