time_ms,sensor,value
9134,Smoke,253.0
10149,Smoke,253.0
11165,Smoke,253.0
12181,Smoke,251.0
13197,Smoke,252.0
14213,Smoke,252.0
15229,Smoke,252.0
16245,Smoke,251.0
17261,Smoke,250.0
18277,Smoke,251.0
19293,Smoke,249.0
20309,Smoke,250.0
21325,Smoke,250.0
22341,Smoke,248.0
23357,Smoke,249.0
24373,Smoke,249.0
25389,Smoke,249.0
26405,Smoke,250.0
27421,Smoke,250.0
28437,Smoke,248.0
29453,Smoke,249.0
30469,Smoke,248.0
31485,Smoke,249.0
32501,Smoke,248.0
33517,Smoke,248.0
34533,Smoke,253.0
35549,Smoke,253.0
36565,Smoke,251.0
37581,Smoke,251.0
38597,Smoke,251.0
39613,Smoke,250.0
40629,Smoke,236.0
41645,Smoke,247.0
42661,Smoke,245.0
43677,Smoke,240.0
44693,Smoke,237.0
45709,Smoke,240.0
46725,Smoke,228.0
47741,Smoke,235.0
48757,Smoke,233.0
49773,Smoke,233.0
50789,Smoke,233.0
51805,Smoke,231.0
52821,Smoke,232.0
53837,Smoke,230.0
54853,Smoke,232.0
55869,Smoke,231.0
56885,Smoke,233.0
57901,Smoke,234.0
58917,Smoke,234.0
59933,Smoke,234.0
60949,Smoke,235.0
61965,Smoke,235.0
62981,Smoke,233.0
63997,Smoke,234.0
65013,Smoke,235.0
66029,Smoke,236.0
67045,Smoke,235.0
68061,Smoke,236.0
69077,Smoke,235.0
70093,Smoke,235.0
71109,Smoke,237.0
72125,Smoke,237.0
73141,Smoke,237.0
74157,Smoke,236.0
75173,Smoke,236.0
76189,Smoke,236.0
77205,Smoke,237.0
78221,Smoke,235.0
79237,Smoke,237.0
80253,Smoke,236.0
81269,Smoke,238.0
82285,Smoke,238.0
83301,Smoke,236.0
84317,Smoke,239.0
85333,Smoke,239.0
86349,Smoke,238.0
87365,Smoke,239.0
88381,Smoke,238.0
89397,Smoke,239.0
90413,Smoke,239.0
91429,Smoke,240.0
92445,Smoke,240.0
93461,Smoke,242.0
94477,Smoke,242.0
95493,Smoke,242.0
96509,Smoke,241.0
97525,Smoke,242.0
98541,Smoke,243.0
99557,Smoke,243.0
100573,Smoke,243.0
101590,Smoke,244.0
102607,Smoke,243.0
103624,Smoke,242.0
104641,Smoke,243.0
105658,Smoke,243.0
106675,Smoke,243.0
107692,Smoke,242.0
108709,Smoke,243.0
109726,Smoke,242.0
110743,Smoke,242.0
111760,Smoke,244.0
112777,Smoke,245.0
113794,Smoke,244.0
114811,Smoke,244.0
115828,Smoke,245.0
116845,Smoke,244.0
117862,Smoke,245.0
118879,Smoke,244.0
119896,Smoke,245.0
120913,Smoke,244.0
121930,Smoke,245.0
122947,Smoke,244.0
123964,Smoke,244.0
124981,Smoke,245.0
125998,Smoke,245.0
127015,Smoke,243.0
128032,Smoke,245.0
129049,Smoke,245.0
130066,Smoke,244.0
131083,Smoke,245.0
132100,Smoke,244.0
133117,Smoke,244.0
134134,Smoke,245.0
135151,Smoke,243.0
136168,Smoke,243.0
137185,Smoke,244.0
138202,Smoke,245.0
