time_ms,sensor,value
10149,Smoke,293.0
11165,Smoke,296.0
12181,Smoke,298.0
13197,Smoke,298.0
14213,Smoke,300.0
15229,Smoke,304.0
16245,Smoke,298.0
17261,Smoke,296.0
18277,Smoke,294.0
19293,Smoke,292.0
20309,Smoke,290.0
21325,Smoke,290.0
22341,Smoke,288.0
23357,Smoke,288.0
24373,Smoke,289.0
25389,Smoke,287.0
26405,Smoke,287.0
27421,Smoke,286.0
28437,Smoke,285.0
29453,Smoke,286.0
30469,Smoke,285.0
31485,Smoke,284.0
32501,Smoke,283.0
33517,Smoke,284.0
34533,Smoke,284.0
35549,Smoke,282.0
36565,Smoke,282.0
37581,Smoke,282.0
38597,Smoke,282.0
39613,Smoke,281.0
40629,Smoke,282.0
41645,Smoke,282.0
42661,Smoke,282.0
43677,Smoke,282.0
44693,Smoke,284.0
45709,Smoke,286.0
46725,Smoke,288.0
47741,Smoke,289.0
48757,Smoke,290.0
49773,Smoke,291.0
50789,Smoke,288.0
51805,Smoke,288.0
52821,Smoke,286.0
53837,Smoke,285.0
54853,Smoke,284.0
55869,Smoke,283.0
56885,Smoke,282.0
57901,Smoke,281.0
58917,Smoke,280.0
59933,Smoke,280.0
60949,Smoke,280.0
61965,Smoke,279.0
62981,Smoke,279.0
63997,Smoke,285.0
65013,Smoke,281.0
66029,Smoke,281.0
67045,Smoke,284.0
68061,Smoke,282.0
69077,Smoke,280.0
70093,Smoke,280.0
71109,Smoke,280.0
72125,Smoke,280.0
73141,Smoke,283.0
74157,Smoke,278.0
75173,Smoke,278.0
76189,Smoke,272.0
77205,Smoke,272.0
78221,Smoke,271.0
79237,Smoke,271.0
80253,Smoke,268.0
81269,Smoke,276.0
82285,Smoke,277.0
83301,Smoke,275.0
84317,Smoke,278.0
85333,Smoke,273.0
86349,Smoke,272.0
87365,Smoke,270.0
88381,Smoke,268.0
89397,Smoke,267.0
90413,Smoke,265.0
91429,Smoke,265.0
92445,Smoke,263.0
93461,Smoke,262.0
94477,Smoke,260.0
95493,Smoke,257.0
96509,Smoke,255.0
97525,Smoke,254.0
98541,Smoke,253.0
99557,Smoke,251.0
100573,Smoke,250.0
101590,Smoke,248.0
102607,Smoke,246.0
103624,Smoke,246.0
104641,Smoke,245.0
105658,Smoke,244.0
106675,Smoke,242.0
107692,Smoke,243.0
108709,Smoke,241.0
109726,Smoke,242.0
110743,Smoke,241.0
111760,Smoke,241.0
112777,Smoke,241.0
113794,Smoke,239.0
114811,Smoke,239.0
115828,Smoke,239.0
116845,Smoke,239.0
117862,Smoke,239.0
118879,Smoke,238.0
119896,Smoke,236.0
120913,Smoke,238.0
121930,Smoke,238.0
122947,Smoke,237.0
123964,Smoke,236.0
124981,Smoke,236.0
125998,Smoke,238.0
127015,Smoke,238.0
128032,Smoke,238.0
129049,Smoke,238.0
130066,Smoke,238.0
131083,Smoke,237.0
132100,Smoke,237.0
133117,Smoke,235.0
134134,Smoke,236.0
135151,Smoke,237.0
136168,Smoke,236.0
137185,Smoke,236.0
138202,Smoke,235.0
139219,Smoke,236.0
140236,Smoke,236.0
141253,Smoke,235.0
142270,Smoke,235.0
143287,Smoke,236.0
144304,Smoke,235.0
145321,Smoke,235.0
146338,Smoke,235.0
147355,Smoke,235.0
148372,Smoke,237.0
149389,Smoke,235.0
150406,Smoke,237.0
151423,Smoke,237.0
152440,Smoke,236.0
153457,Smoke,237.0
154474,Smoke,237.0
155491,Smoke,236.0
156508,Smoke,237.0
157525,Smoke,238.0
158542,Smoke,236.0
159559,Smoke,237.0
160576,Smoke,238.0
161593,Smoke,237.0
162610,Smoke,238.0
163627,Smoke,238.0
164644,Smoke,238.0
165661,Smoke,239.0
166678,Smoke,239.0
167695,Smoke,239.0
168712,Smoke,238.0
169729,Smoke,238.0
170746,Smoke,239.0
171763,Smoke,239.0
172780,Smoke,238.0
173797,Smoke,240.0
174814,Smoke,240.0
175831,Smoke,241.0
176848,Smoke,239.0
177865,Smoke,241.0
178882,Smoke,240.0
179899,Smoke,241.0
180916,Smoke,241.0
181933,Smoke,240.0
182950,Smoke,239.0
183967,Smoke,240.0
184984,Smoke,241.0
186001,Smoke,242.0
187018,Smoke,242.0
188035,Smoke,240.0
189052,Smoke,240.0
190069,Smoke,241.0
191086,Smoke,242.0
192103,Smoke,242.0
193120,Smoke,242.0
194137,Smoke,242.0
195154,Smoke,241.0
196171,Smoke,243.0
197188,Smoke,243.0
198205,Smoke,243.0
199222,Smoke,242.0
200239,Smoke,243.0
201256,Smoke,243.0
202273,Smoke,244.0
203290,Smoke,243.0
204307,Smoke,244.0
205324,Smoke,243.0
206341,Smoke,243.0
207358,Smoke,245.0
208375,Smoke,245.0
209392,Smoke,245.0
