time_ms,sensor,value
4051,VOC,601.0
5064,VOC,601.0
6077,VOC,602.0
7090,VOC,602.0
8103,VOC,603.0
9116,VOC,606.0
10129,VOC,608.0
11143,VOC,611.0
12157,VOC,615.0
13171,VOC,618.0
14185,VOC,621.0
15199,VOC,622.0
16213,VOC,620.0
17227,VOC,618.0
18241,VOC,621.0
19255,VOC,627.0
20269,VOC,630.0
21283,VOC,629.0
22297,VOC,626.0
23311,VOC,624.0
24325,VOC,624.0
25339,VOC,625.0
26353,VOC,622.0
27367,VOC,617.0
28381,VOC,612.0
29395,VOC,608.0
30409,VOC,604.0
31423,VOC,601.0
32437,VOC,600.0
33451,VOC,604.0
34465,VOC,606.0
35479,VOC,607.0
36493,VOC,606.0
37507,VOC,606.0
38521,VOC,604.0
39535,VOC,602.0
40549,VOC,600.0
41563,VOC,598.0
42577,VOC,596.0
43591,VOC,593.0
44605,VOC,591.0
45619,VOC,590.0
46633,VOC,590.0
47647,VOC,591.0
48661,VOC,590.0
49675,VOC,590.0
50689,VOC,590.0
51703,VOC,592.0
52717,VOC,592.0
53731,VOC,592.0
54745,VOC,591.0
55759,VOC,591.0
56773,VOC,589.0
57787,VOC,585.0
58801,VOC,582.0
59815,VOC,581.0
60829,VOC,580.0
61843,VOC,579.0
62857,VOC,577.0
63871,VOC,575.0
64885,VOC,574.0
65899,VOC,574.0
66913,VOC,572.0
67927,VOC,571.0
68941,VOC,569.0
69955,VOC,566.0
70969,VOC,565.0
71983,VOC,563.0
72997,VOC,564.0
74011,VOC,568.0
75025,VOC,573.0
76039,VOC,573.0
77053,VOC,574.0
78067,VOC,576.0
79081,VOC,580.0
80095,VOC,579.0
81109,VOC,579.0
82123,VOC,576.0
83137,VOC,574.0
84151,VOC,572.0
85165,VOC,570.0
86179,VOC,567.0
87193,VOC,564.0
88207,VOC,561.0
89221,VOC,558.0
90235,VOC,557.0
91249,VOC,555.0
92263,VOC,553.0
93277,VOC,552.0
94291,VOC,551.0
95305,VOC,550.0
96319,VOC,552.0
97333,VOC,552.0
98347,VOC,554.0
99361,VOC,555.0
100375,VOC,558.0
101390,VOC,562.0
102405,VOC,568.0
103420,VOC,570.0
104435,VOC,570.0
105450,VOC,571.0
106465,VOC,571.0
107480,VOC,572.0
108495,VOC,573.0
109510,VOC,574.0
110525,VOC,574.0
111540,VOC,576.0
112555,VOC,576.0
113570,VOC,577.0
114585,VOC,578.0
115600,VOC,579.0
116615,VOC,580.0
117630,VOC,580.0
118645,VOC,580.0
119660,VOC,581.0
120675,VOC,586.0
121690,VOC,588.0
122705,VOC,589.0
123720,VOC,588.0
124735,VOC,588.0
125750,VOC,587.0
126765,VOC,583.0
127780,VOC,580.0
128795,VOC,578.0
129810,VOC,577.0
130825,VOC,577.0
131840,VOC,575.0
132855,VOC,575.0
133870,VOC,575.0
134885,VOC,574.0
135900,VOC,572.0
136915,VOC,571.0
137930,VOC,569.0
138945,VOC,568.0
139960,VOC,566.0
140975,VOC,566.0
141990,VOC,566.0
143005,VOC,566.0
144020,VOC,565.0
145035,VOC,562.0
146050,VOC,561.0
147065,VOC,560.0
148080,VOC,560.0
149095,VOC,560.0
150110,VOC,561.0
151125,VOC,564.0
152140,VOC,569.0
153155,VOC,571.0
154170,VOC,572.0
155185,VOC,572.0
156200,VOC,572.0
157215,VOC,571.0
158230,VOC,569.0
159245,VOC,568.0
160260,VOC,566.0
161275,VOC,563.0
162290,VOC,561.0
163305,VOC,559.0
164320,VOC,557.0
165335,VOC,555.0
166350,VOC,554.0
167365,VOC,553.0
168380,VOC,552.0
169395,VOC,552.0
170410,VOC,551.0
171425,VOC,551.0
172440,VOC,550.0
173455,VOC,551.0
174470,VOC,551.0
175485,VOC,551.0
176500,VOC,550.0
177515,VOC,552.0
178530,VOC,553.0
179545,VOC,554.0
180560,VOC,554.0
181575,VOC,553.0
182590,VOC,552.0
183605,VOC,551.0
184620,VOC,552.0
185635,VOC,553.0
186650,VOC,553.0
187665,VOC,552.0
188680,VOC,551.0
189695,VOC,550.0
190710,VOC,548.0
191725,VOC,546.0
192740,VOC,545.0
193755,VOC,548.0
194770,VOC,550.0
195785,VOC,550.0
196800,VOC,550.0
197815,VOC,550.0
198830,VOC,549.0
199845,VOC,548.0
200860,VOC,546.0
201875,VOC,544.0
202890,VOC,543.0
203905,VOC,542.0
204920,VOC,542.0
205935,VOC,541.0
206950,VOC,539.0
207965,VOC,539.0
208980,VOC,538.0
209995,VOC,537.0
211010,VOC,538.0
212025,VOC,540.0
213040,VOC,542.0
214055,VOC,545.0
215070,VOC,545.0
216085,VOC,544.0
217100,VOC,543.0
218115,VOC,541.0
219130,VOC,540.0
220145,VOC,540.0
221160,VOC,539.0
222175,VOC,538.0
223190,VOC,538.0
224205,VOC,539.0
225220,VOC,541.0
226235,VOC,542.0
227250,VOC,542.0
228265,VOC,543.0
229280,VOC,543.0
230295,VOC,542.0
231310,VOC,543.0
232325,VOC,544.0
233340,VOC,545.0
234355,VOC,547.0
235370,VOC,549.0
236385,VOC,552.0
237400,VOC,553.0
238415,VOC,551.0
239430,VOC,550.0
240445,VOC,550.0
241460,VOC,550.0
242475,VOC,549.0
243490,VOC,548.0
244505,VOC,547.0
245520,VOC,547.0
246535,VOC,550.0
247550,VOC,553.0
248565,VOC,554.0
249580,VOC,553.0
250595,VOC,552.0
251610,VOC,552.0
252625,VOC,552.0
253640,VOC,551.0
254655,VOC,550.0
255670,VOC,549.0
256685,VOC,549.0
257700,VOC,549.0
258715,VOC,552.0
259730,VOC,554.0
260745,VOC,556.0
261760,VOC,556.0
262775,VOC,555.0
263790,VOC,556.0
264805,VOC,557.0
265820,VOC,559.0
266835,VOC,559.0
267850,VOC,559.0
268865,VOC,560.0
269880,VOC,561.0
270895,VOC,561.0
271910,VOC,560.0
272925,VOC,560.0
273940,VOC,559.0
274955,VOC,557.0
275970,VOC,555.0
276985,VOC,553.0
278000,VOC,550.0
279015,VOC,548.0
280030,VOC,547.0
281045,VOC,546.0
282060,VOC,545.0
283075,VOC,543.0
284090,VOC,542.0
285105,VOC,541.0
286120,VOC,541.0
287135,VOC,540.0
288150,VOC,541.0
289165,VOC,540.0
290180,VOC,539.0
291195,VOC,539.0
292210,VOC,539.0
293225,VOC,541.0
294240,VOC,542.0
295255,VOC,542.0
296270,VOC,541.0
297285,VOC,541.0
298300,VOC,540.0
299315,VOC,540.0
300330,VOC,540.0
301345,VOC,540.0
