time_ms,sensor,value
5064,VOC,560.0
6077,VOC,563.0
7090,VOC,572.0
8103,VOC,576.0
9116,VOC,578.0
10129,VOC,578.0
11143,VOC,582.0
12157,VOC,590.0
13171,VOC,593.0
14185,VOC,598.0
15199,VOC,607.0
16213,VOC,615.0
17227,VOC,618.0
18241,VOC,617.0
19255,VOC,618.0
20269,VOC,617.0
21283,VOC,616.0
22297,VOC,617.0
23311,VOC,618.0
24325,VOC,618.0
25339,VOC,618.0
26353,VOC,619.0
27367,VOC,618.0
28381,VOC,615.0
29395,VOC,614.0
30409,VOC,611.0
31423,VOC,615.0
32437,VOC,617.0
33451,VOC,623.0
34465,VOC,624.0
35479,VOC,615.0
36493,VOC,613.0
37507,VOC,610.0
38521,VOC,608.0
39535,VOC,607.0
40549,VOC,604.0
41563,VOC,602.0
42577,VOC,601.0
43591,VOC,605.0
44605,VOC,613.0
45619,VOC,619.0
46633,VOC,622.0
47647,VOC,622.0
48661,VOC,620.0
49675,VOC,626.0
50689,VOC,632.0
51703,VOC,642.0
52717,VOC,652.0
53731,VOC,657.0
54745,VOC,657.0
55759,VOC,656.0
56773,VOC,654.0
57787,VOC,651.0
58801,VOC,650.0
59815,VOC,647.0
60829,VOC,642.0
61843,VOC,638.0
62857,VOC,633.0
63871,VOC,627.0
64885,VOC,621.0
65899,VOC,614.0
66913,VOC,607.0
67927,VOC,602.0
68941,VOC,597.0
69955,VOC,595.0
70969,VOC,592.0
71983,VOC,593.0
72997,VOC,598.0
74011,VOC,603.0
75025,VOC,613.0
76039,VOC,617.0
77053,VOC,616.0
78067,VOC,612.0
79081,VOC,609.0
80095,VOC,610.0
81109,VOC,612.0
82123,VOC,614.0
83137,VOC,616.0
84151,VOC,618.0
85165,VOC,621.0
86179,VOC,623.0
87193,VOC,623.0
88207,VOC,624.0
89221,VOC,625.0
90235,VOC,626.0
91249,VOC,625.0
92263,VOC,622.0
93277,VOC,617.0
94291,VOC,615.0
95305,VOC,612.0
96319,VOC,609.0
97333,VOC,609.0
98347,VOC,612.0
99361,VOC,612.0
100375,VOC,612.0
101390,VOC,609.0
102405,VOC,608.0
103420,VOC,609.0
104435,VOC,613.0
105450,VOC,618.0
106465,VOC,624.0
107480,VOC,628.0
108495,VOC,633.0
109510,VOC,636.0
110525,VOC,639.0
111540,VOC,643.0
112555,VOC,649.0
113570,VOC,652.0
114585,VOC,655.0
115600,VOC,656.0
116615,VOC,653.0
117630,VOC,651.0
118645,VOC,645.0
119660,VOC,638.0
120675,VOC,633.0
121690,VOC,628.0
122705,VOC,627.0
123720,VOC,628.0
124735,VOC,632.0
125750,VOC,633.0
126765,VOC,633.0
127780,VOC,631.0
128795,VOC,632.0
129810,VOC,631.0
130825,VOC,630.0
131840,VOC,626.0
132855,VOC,621.0
133870,VOC,616.0
134885,VOC,612.0
135900,VOC,605.0
136915,VOC,601.0
137930,VOC,597.0
138945,VOC,595.0
139960,VOC,592.0
140975,VOC,594.0
141990,VOC,597.0
143005,VOC,598.0
144020,VOC,595.0
145035,VOC,594.0
146050,VOC,591.0
147065,VOC,588.0
148080,VOC,585.0
149095,VOC,583.0
150110,VOC,582.0
151125,VOC,583.0
152140,VOC,580.0
153155,VOC,577.0
154170,VOC,575.0
155185,VOC,572.0
156200,VOC,569.0
157215,VOC,567.0
158230,VOC,564.0
159245,VOC,562.0
160260,VOC,562.0
161275,VOC,567.0
162290,VOC,574.0
163305,VOC,577.0
164320,VOC,581.0
165335,VOC,581.0
166350,VOC,582.0
167365,VOC,583.0
168380,VOC,584.0
169395,VOC,583.0
170410,VOC,586.0
171425,VOC,590.0
172440,VOC,594.0
173455,VOC,596.0
174470,VOC,599.0
175485,VOC,599.0
176500,VOC,600.0
177515,VOC,603.0
178530,VOC,609.0
179545,VOC,612.0
180560,VOC,613.0
181575,VOC,612.0
182590,VOC,611.0
183605,VOC,613.0
184620,VOC,617.0
185635,VOC,620.0
186650,VOC,623.0
187665,VOC,625.0
188680,VOC,626.0
189695,VOC,628.0
190710,VOC,628.0
191725,VOC,628.0
192740,VOC,619.0
193755,VOC,612.0
194770,VOC,604.0
195785,VOC,597.0
196800,VOC,591.0
197815,VOC,586.0
198830,VOC,580.0
199845,VOC,577.0
200860,VOC,574.0
201875,VOC,574.0
202890,VOC,575.0
203905,VOC,575.0
204920,VOC,576.0
205935,VOC,576.0
206950,VOC,576.0
207965,VOC,576.0
208980,VOC,577.0
209995,VOC,578.0
211010,VOC,580.0
212025,VOC,583.0
213040,VOC,588.0
214055,VOC,594.0
215070,VOC,598.0
216085,VOC,600.0
217100,VOC,602.0
218115,VOC,603.0
219130,VOC,603.0
220145,VOC,602.0
221160,VOC,601.0
222175,VOC,600.0
223190,VOC,599.0
224205,VOC,599.0
225220,VOC,599.0
226235,VOC,601.0
227250,VOC,601.0
228265,VOC,600.0
229280,VOC,599.0
230295,VOC,597.0
231310,VOC,597.0
232325,VOC,600.0
233340,VOC,599.0
234355,VOC,602.0
235370,VOC,605.0
236385,VOC,608.0
237400,VOC,614.0
238415,VOC,620.0
239430,VOC,626.0
240445,VOC,629.0
241460,VOC,632.0
242475,VOC,634.0
243490,VOC,635.0
244505,VOC,635.0
245520,VOC,631.0
246535,VOC,629.0
247550,VOC,626.0
248565,VOC,624.0
249580,VOC,625.0
250595,VOC,629.0
251610,VOC,632.0
252625,VOC,636.0
253640,VOC,638.0
254655,VOC,641.0
255670,VOC,645.0
256685,VOC,643.0
257700,VOC,641.0
258715,VOC,638.0
259730,VOC,638.0
260745,VOC,640.0
261760,VOC,644.0
262775,VOC,647.0
263790,VOC,652.0
264805,VOC,655.0
265820,VOC,655.0
266835,VOC,654.0
267850,VOC,651.0
268865,VOC,647.0
269880,VOC,644.0
270895,VOC,640.0
271910,VOC,639.0
272925,VOC,640.0
273940,VOC,640.0
274955,VOC,640.0
275970,VOC,640.0
276985,VOC,637.0
278000,VOC,633.0
279015,VOC,628.0
280030,VOC,623.0
281045,VOC,621.0
282060,VOC,621.0
283075,VOC,624.0
284090,VOC,627.0
285105,VOC,632.0
286120,VOC,636.0
287135,VOC,639.0
288150,VOC,644.0
289165,VOC,651.0
290180,VOC,653.0
291195,VOC,649.0
292210,VOC,652.0
293225,VOC,657.0
294240,VOC,665.0
295255,VOC,668.0
296270,VOC,671.0
297285,VOC,671.0
298300,VOC,672.0
299315,VOC,672.0
300330,VOC,669.0
301345,VOC,666.0
302360,VOC,664.0
303375,VOC,662.0
304390,VOC,659.0
