time_ms,sensor,value
14185,VOC,490.0
15199,VOC,492.0
16213,VOC,497.0
17227,VOC,502.0
18241,VOC,505.0
19255,VOC,512.0
20269,VOC,517.0
21283,VOC,518.0
22297,VOC,517.0
23311,VOC,516.0
24325,VOC,514.0
25339,VOC,511.0
26353,VOC,507.0
27367,VOC,504.0
28381,VOC,501.0
29395,VOC,499.0
30409,VOC,497.0
31423,VOC,496.0
32437,VOC,496.0
33451,VOC,493.0
34465,VOC,492.0
35479,VOC,490.0
36493,VOC,489.0
37507,VOC,489.0
38521,VOC,493.0
39535,VOC,496.0
40549,VOC,496.0
41563,VOC,495.0
42577,VOC,495.0
43591,VOC,495.0
44605,VOC,495.0
45619,VOC,498.0
46633,VOC,504.0
47647,VOC,508.0
48661,VOC,511.0
49675,VOC,512.0
50689,VOC,512.0
51703,VOC,511.0
52717,VOC,509.0
53731,VOC,507.0
54745,VOC,504.0
55759,VOC,501.0
56773,VOC,500.0
57787,VOC,501.0
58801,VOC,503.0
59815,VOC,503.0
60829,VOC,501.0
61843,VOC,500.0
62857,VOC,497.0
63871,VOC,495.0
64885,VOC,494.0
65899,VOC,492.0
66913,VOC,491.0
67927,VOC,490.0
68941,VOC,489.0
69955,VOC,488.0
70969,VOC,486.0
71983,VOC,485.0
72997,VOC,487.0
74011,VOC,487.0
75025,VOC,488.0
76039,VOC,491.0
77053,VOC,493.0
78067,VOC,497.0
79081,VOC,499.0
80095,VOC,499.0
81109,VOC,498.0
82123,VOC,498.0
83137,VOC,497.0
84151,VOC,496.0
85165,VOC,496.0
86179,VOC,495.0
87193,VOC,490.0
88207,VOC,488.0
89221,VOC,492.0
90235,VOC,500.0
91249,VOC,506.0
92263,VOC,506.0
93277,VOC,507.0
94291,VOC,507.0
95305,VOC,509.0
96319,VOC,512.0
97333,VOC,514.0
98347,VOC,517.0
99361,VOC,520.0
100375,VOC,522.0
101390,VOC,524.0
102405,VOC,527.0
103420,VOC,530.0
104435,VOC,532.0
105450,VOC,533.0
106465,VOC,531.0
107480,VOC,529.0
108495,VOC,526.0
109510,VOC,523.0
110525,VOC,523.0
111540,VOC,523.0
112555,VOC,523.0
113570,VOC,525.0
114585,VOC,525.0
115600,VOC,523.0
116615,VOC,519.0
117630,VOC,516.0
118645,VOC,512.0
119660,VOC,509.0
120675,VOC,506.0
121690,VOC,503.0
122705,VOC,501.0
123720,VOC,501.0
124735,VOC,501.0
125750,VOC,501.0
126765,VOC,501.0
127780,VOC,501.0
128795,VOC,496.0
129810,VOC,514.0
130825,VOC,523.0
131840,VOC,544.0
132855,VOC,581.0
133870,VOC,592.0
134885,VOC,579.0
135900,VOC,574.0
136915,VOC,595.0
137930,VOC,622.0
138945,VOC,608.0
139960,VOC,603.0
140975,VOC,597.0
141990,VOC,623.0
143005,VOC,627.0
144020,VOC,617.0
145035,VOC,613.0
146050,VOC,602.0
147065,VOC,594.0
148080,VOC,590.0
149095,VOC,585.0
150110,VOC,581.0
151125,VOC,577.0
152140,VOC,572.0
153155,VOC,567.0
154170,VOC,561.0
155185,VOC,557.0
156200,VOC,554.0
157215,VOC,551.0
158230,VOC,546.0
159245,VOC,543.0
160260,VOC,540.0
161275,VOC,537.0
162290,VOC,533.0
163305,VOC,622.0
164320,VOC,673.0
165335,VOC,686.0
166350,VOC,726.0
167365,VOC,742.0
168380,VOC,725.0
169395,VOC,705.0
170410,VOC,695.0
171425,VOC,687.0
172440,VOC,679.0
173455,VOC,671.0
174470,VOC,659.0
175485,VOC,648.0
176500,VOC,637.0
177515,VOC,629.0
178530,VOC,620.0
179545,VOC,613.0
180560,VOC,606.0
181575,VOC,600.0
182590,VOC,593.0
183605,VOC,586.0
184620,VOC,581.0
185635,VOC,576.0
186650,VOC,571.0
187665,VOC,567.0
188680,VOC,563.0
189695,VOC,560.0
190710,VOC,557.0
191725,VOC,552.0
192740,VOC,550.0
193755,VOC,547.0
194770,VOC,544.0
195785,VOC,541.0
196800,VOC,538.0
197815,VOC,535.0
198830,VOC,532.0
199845,VOC,531.0
200860,VOC,530.0
201875,VOC,528.0
202890,VOC,527.0
203905,VOC,527.0
204920,VOC,526.0
205935,VOC,524.0
206950,VOC,522.0
207965,VOC,520.0
208980,VOC,517.0
209995,VOC,515.0
211010,VOC,513.0
212025,VOC,511.0
213040,VOC,509.0
214055,VOC,508.0
215070,VOC,507.0
216085,VOC,505.0
217100,VOC,502.0
218115,VOC,500.0
219130,VOC,498.0
220145,VOC,496.0
221160,VOC,495.0
222175,VOC,494.0
223190,VOC,492.0
224205,VOC,491.0
225220,VOC,489.0
226235,VOC,489.0
227250,VOC,489.0
228265,VOC,489.0
229280,VOC,488.0
230295,VOC,487.0
231310,VOC,487.0
232325,VOC,485.0
233340,VOC,485.0
234355,VOC,484.0
235370,VOC,483.0
236385,VOC,481.0
237400,VOC,481.0
238415,VOC,479.0
239430,VOC,479.0
240445,VOC,478.0
241460,VOC,479.0
242475,VOC,480.0
243490,VOC,479.0
244505,VOC,478.0
245520,VOC,477.0
246535,VOC,476.0
247550,VOC,476.0
248565,VOC,475.0
249580,VOC,475.0
250595,VOC,476.0
251610,VOC,476.0
252625,VOC,477.0
253640,VOC,477.0
254655,VOC,477.0
255670,VOC,478.0
256685,VOC,478.0
257700,VOC,477.0
258715,VOC,478.0
259730,VOC,476.0
260745,VOC,475.0
261760,VOC,474.0
262775,VOC,473.0
263790,VOC,471.0
264805,VOC,470.0
265820,VOC,470.0
266835,VOC,470.0
267850,VOC,472.0
268865,VOC,472.0
269880,VOC,471.0
270895,VOC,471.0
271910,VOC,469.0
272925,VOC,468.0
273940,VOC,467.0
274955,VOC,466.0
275970,VOC,465.0
276985,VOC,464.0
278000,VOC,463.0
279015,VOC,463.0
280030,VOC,463.0
281045,VOC,462.0
282060,VOC,461.0
283075,VOC,461.0
284090,VOC,460.0
285105,VOC,460.0
286120,VOC,460.0
287135,VOC,460.0
288150,VOC,459.0
289165,VOC,459.0
290180,VOC,458.0
291195,VOC,458.0
292210,VOC,458.0
293225,VOC,457.0
294240,VOC,456.0
295255,VOC,457.0
296270,VOC,457.0
297285,VOC,456.0
298300,VOC,455.0
299315,VOC,454.0
300330,VOC,454.0
301345,VOC,453.0
302360,VOC,453.0
303375,VOC,452.0
304390,VOC,453.0
305405,VOC,453.0
306420,VOC,454.0
307435,VOC,453.0
308450,VOC,451.0
309465,VOC,453.0
310480,VOC,461.0
311495,VOC,466.0
312510,VOC,466.0
313525,VOC,464.0
314540,VOC,463.0
315555,VOC,464.0
316570,VOC,465.0
317585,VOC,466.0
318600,VOC,466.0
319615,VOC,465.0
320630,VOC,464.0
321645,VOC,464.0
322660,VOC,464.0
323675,VOC,465.0
324690,VOC,465.0
325705,VOC,464.0
326720,VOC,465.0
327735,VOC,463.0
328750,VOC,462.0
329765,VOC,458.0
