time_ms,voc
6052,258
7061,259
8070,258
9079,259
10088,258
11098,259
12108,259
13118,259
14128,260
15138,259
16148,259
17158,259
18168,259
19178,260
20188,259
21198,260
22208,259
23218,259
24228,260
25238,259
26248,259
27258,259
28268,259
29278,260
30288,258
31298,259
32308,259
33318,259
34328,260
35338,258
36348,260
37358,259
38368,259
39378,260
40388,258
41398,260
42408,259
43418,259
44428,259
45438,259
46448,260
47458,258
48468,260
49478,259
50488,259
51498,260
52508,259
53518,260
54528,259
55538,260
56548,259
57558,259
58568,260
59578,259
60588,260
61598,259
62608,260
63618,259
64628,259
65638,260
66648,259
67658,260
68668,259
69678,260
70688,259
71698,259
72708,260
73718,259
