time_ms,sensor,value
5074,Smoke,248.0
6089,Smoke,254.0
7104,Smoke,260.0
8119,Smoke,440.0
9134,Smoke,682.0
10149,Smoke,759.0
11165,Smoke,760.0
12181,Smoke,764.0
13197,Smoke,811.0
14213,Smoke,792.0
15229,Smoke,789.0
16245,Smoke,787.0
17261,Smoke,766.0
18277,Smoke,725.0
19293,Smoke,776.0
20309,Smoke,774.0
21325,Smoke,725.0
22341,Smoke,689.0
23357,Smoke,734.0
24373,Smoke,794.0
25389,Smoke,774.0
26405,Smoke,783.0
27421,Smoke,781.0
28437,Smoke,796.0
29453,Smoke,805.0
30469,Smoke,798.0
31485,Smoke,811.0
32501,Smoke,799.0
33517,Smoke,825.0
34533,Smoke,795.0
35549,Smoke,768.0
36565,Smoke,789.0
37581,Smoke,802.0
38597,Smoke,789.0
39613,Smoke,810.0
40629,Smoke,774.0
41645,Smoke,802.0
42661,Smoke,824.0
43677,Smoke,818.0
44693,Smoke,788.0
45709,Smoke,818.0
46725,Smoke,814.0
47741,Smoke,787.0
48757,Smoke,787.0
49773,Smoke,807.0
50789,Smoke,807.0
51805,Smoke,812.0
52821,Smoke,816.0
53837,Smoke,811.0
54853,Smoke,825.0
55869,Smoke,789.0
56885,Smoke,788.0
57901,Smoke,785.0
58917,Smoke,825.0
59933,Smoke,826.0
60949,Smoke,801.0
61965,Smoke,824.0
62981,Smoke,818.0
63997,Smoke,767.0
65013,Smoke,788.0
66029,Smoke,778.0
67045,Smoke,762.0
68061,Smoke,784.0
69077,Smoke,788.0
70093,Smoke,812.0
71109,Smoke,814.0
72125,Smoke,804.0
73141,Smoke,807.0
74157,Smoke,821.0
75173,Smoke,808.0
76189,Smoke,834.0
77205,Smoke,815.0
78221,Smoke,809.0
79237,Smoke,823.0
80253,Smoke,821.0
81269,Smoke,818.0
82285,Smoke,801.0
83301,Smoke,804.0
84317,Smoke,802.0
85333,Smoke,806.0
86349,Smoke,823.0
87365,Smoke,824.0
88381,Smoke,820.0
89397,Smoke,821.0
90413,Smoke,822.0
91429,Smoke,810.0
92445,Smoke,827.0
93461,Smoke,820.0
94477,Smoke,829.0
95493,Smoke,818.0
96509,Smoke,808.0
97525,Smoke,813.0
98541,Smoke,814.0
99557,Smoke,809.0
100573,Smoke,790.0
101590,Smoke,789.0
102607,Smoke,791.0
103624,Smoke,781.0
104641,Smoke,795.0
105658,Smoke,792.0
106675,Smoke,786.0
107692,Smoke,794.0
108709,Smoke,793.0
109726,Smoke,787.0
110743,Smoke,797.0
111760,Smoke,797.0
112777,Smoke,794.0
113794,Smoke,790.0
114811,Smoke,784.0
115828,Smoke,783.0
116845,Smoke,781.0
117862,Smoke,783.0
118879,Smoke,781.0
119896,Smoke,789.0
120913,Smoke,781.0
121930,Smoke,775.0
122947,Smoke,796.0
123964,Smoke,779.0
124981,Smoke,774.0
125998,Smoke,767.0
127015,Smoke,776.0
128032,Smoke,772.0
129049,Smoke,766.0
130066,Smoke,769.0
131083,Smoke,774.0
132100,Smoke,777.0
133117,Smoke,785.0
134134,Smoke,785.0
135151,Smoke,795.0
136168,Smoke,765.0
137185,Smoke,759.0
138202,Smoke,763.0
139219,Smoke,789.0
140236,Smoke,768.0
141253,Smoke,764.0
142270,Smoke,752.0
143287,Smoke,754.0
144304,Smoke,752.0
145321,Smoke,765.0
146338,Smoke,758.0
147355,Smoke,738.0
148372,Smoke,741.0
149389,Smoke,738.0
150406,Smoke,732.0
151423,Smoke,751.0
152440,Smoke,726.0
153457,Smoke,742.0
154474,Smoke,736.0
155491,Smoke,729.0
156508,Smoke,714.0
157525,Smoke,705.0
158542,Smoke,731.0
159559,Smoke,745.0
160576,Smoke,706.0
161593,Smoke,696.0
162610,Smoke,719.0
163627,Smoke,722.0
164644,Smoke,716.0
165661,Smoke,695.0
166678,Smoke,702.0
167695,Smoke,704.0
168712,Smoke,675.0
169729,Smoke,697.0
170746,Smoke,701.0
171763,Smoke,712.0
172780,Smoke,699.0
173797,Smoke,674.0
174814,Smoke,681.0
175831,Smoke,678.0
176848,Smoke,672.0
177865,Smoke,673.0
178882,Smoke,688.0
179899,Smoke,666.0
180916,Smoke,671.0
181933,Smoke,702.0
182950,Smoke,711.0
183967,Smoke,699.0
