time_ms,sensor,value
2025,VOC,448.0
3038,VOC,443.0
4051,VOC,439.0
5064,VOC,436.0
6077,VOC,433.0
7090,VOC,430.0
8103,VOC,427.0
9116,VOC,424.0
10129,VOC,421.0
11143,VOC,420.0
12157,VOC,418.0
13171,VOC,416.0
14185,VOC,414.0
15199,VOC,469.0
16213,VOC,487.0
17227,VOC,475.0
18241,VOC,486.0
19255,VOC,523.0
20269,VOC,549.0
21283,VOC,551.0
22297,VOC,610.0
23311,VOC,595.0
24325,VOC,576.0
25339,VOC,559.0
26353,VOC,550.0
27367,VOC,544.0
28381,VOC,532.0
29395,VOC,528.0
30409,VOC,528.0
31423,VOC,519.0
32437,VOC,566.0
33451,VOC,594.0
34465,VOC,611.0
35479,VOC,599.0
36493,VOC,582.0
37507,VOC,567.0
38521,VOC,554.0
39535,VOC,714.0
40549,VOC,742.0
41563,VOC,720.0
42577,VOC,689.0
43591,VOC,665.0
44605,VOC,726.0
45619,VOC,721.0
46633,VOC,697.0
47647,VOC,673.0
48661,VOC,652.0
49675,VOC,638.0
50689,VOC,624.0
51703,VOC,639.0
52717,VOC,624.0
53731,VOC,609.0
54745,VOC,597.0
55759,VOC,629.0
56773,VOC,639.0
57787,VOC,621.0
58801,VOC,607.0
59815,VOC,594.0
60829,VOC,583.0
61843,VOC,574.0
62857,VOC,580.0
63871,VOC,605.0
64885,VOC,591.0
65899,VOC,587.0
66913,VOC,579.0
67927,VOC,569.0
68941,VOC,559.0
69955,VOC,551.0
70969,VOC,543.0
71983,VOC,539.0
72997,VOC,542.0
74011,VOC,535.0
75025,VOC,528.0
76039,VOC,522.0
77053,VOC,570.0
78067,VOC,620.0
79081,VOC,609.0
80095,VOC,591.0
81109,VOC,577.0
82123,VOC,568.0
83137,VOC,575.0
84151,VOC,570.0
85165,VOC,566.0
86179,VOC,566.0
87193,VOC,564.0
88207,VOC,617.0
89221,VOC,689.0
90235,VOC,720.0
91249,VOC,690.0
92263,VOC,668.0
93277,VOC,654.0
94291,VOC,638.0
95305,VOC,646.0
96319,VOC,676.0
97333,VOC,708.0
98347,VOC,714.0
99361,VOC,709.0
100375,VOC,718.0
101390,VOC,758.0
102405,VOC,771.0
103420,VOC,802.0
104435,VOC,769.0
105450,VOC,761.0
106465,VOC,739.0
107480,VOC,773.0
108495,VOC,766.0
109510,VOC,737.0
110525,VOC,715.0
111540,VOC,735.0
112555,VOC,763.0
113570,VOC,743.0
114585,VOC,768.0
115600,VOC,740.0
116615,VOC,714.0
117630,VOC,694.0
118645,VOC,677.0
119660,VOC,666.0
120675,VOC,651.0
121690,VOC,639.0
122705,VOC,628.0
123720,VOC,618.0
124735,VOC,644.0
125750,VOC,656.0
126765,VOC,643.0
127780,VOC,632.0
128795,VOC,619.0
129810,VOC,608.0
130825,VOC,607.0
131840,VOC,603.0
132855,VOC,592.0
133870,VOC,593.0
134885,VOC,655.0
135900,VOC,728.0
136915,VOC,701.0
137930,VOC,676.0
138945,VOC,658.0
139960,VOC,641.0
140975,VOC,626.0
141990,VOC,614.0
143005,VOC,603.0
144020,VOC,593.0
145035,VOC,633.0
146050,VOC,617.0
147065,VOC,609.0
148080,VOC,597.0
149095,VOC,596.0
150110,VOC,637.0
151125,VOC,643.0
152140,VOC,629.0
153155,VOC,702.0
154170,VOC,853.0
155185,VOC,843.0
