time_ms,sensor,value
4051,VOC,497.0
5064,VOC,495.0
6077,VOC,493.0
7090,VOC,492.0
8103,VOC,490.0
9116,VOC,488.0
10129,VOC,486.0
11143,VOC,484.0
12157,VOC,481.0
13171,VOC,482.0
14185,VOC,479.0
15199,VOC,489.0
16213,VOC,591.0
17227,VOC,666.0
18241,VOC,690.0
19255,VOC,716.0
20269,VOC,717.0
21283,VOC,704.0
22297,VOC,713.0
23311,VOC,763.0
24325,VOC,740.0
25339,VOC,720.0
26353,VOC,705.0
27367,VOC,704.0
28381,VOC,694.0
29395,VOC,691.0
30409,VOC,689.0
31423,VOC,687.0
32437,VOC,684.0
33451,VOC,683.0
34465,VOC,678.0
35479,VOC,670.0
36493,VOC,668.0
37507,VOC,658.0
38521,VOC,648.0
39535,VOC,642.0
40549,VOC,634.0
41563,VOC,627.0
42577,VOC,621.0
43591,VOC,618.0
44605,VOC,612.0
45619,VOC,607.0
46633,VOC,602.0
47647,VOC,594.0
48661,VOC,591.0
49675,VOC,583.0
50689,VOC,579.0
51703,VOC,574.0
52717,VOC,576.0
53731,VOC,581.0
54745,VOC,583.0
55759,VOC,580.0
56773,VOC,575.0
57787,VOC,571.0
58801,VOC,566.0
59815,VOC,564.0
60829,VOC,564.0
61843,VOC,566.0
62857,VOC,567.0
63871,VOC,562.0
64885,VOC,556.0
65899,VOC,553.0
66913,VOC,550.0
67927,VOC,549.0
68941,VOC,548.0
69955,VOC,544.0
70969,VOC,542.0
71983,VOC,542.0
72997,VOC,544.0
74011,VOC,543.0
75025,VOC,542.0
76039,VOC,541.0
77053,VOC,541.0
78067,VOC,542.0
79081,VOC,543.0
80095,VOC,544.0
81109,VOC,545.0
82123,VOC,545.0
83137,VOC,547.0
84151,VOC,551.0
85165,VOC,555.0
86179,VOC,557.0
87193,VOC,556.0
88207,VOC,556.0
89221,VOC,557.0
90235,VOC,558.0
91249,VOC,560.0
92263,VOC,559.0
93277,VOC,559.0
94291,VOC,557.0
95305,VOC,552.0
96319,VOC,551.0
97333,VOC,550.0
98347,VOC,548.0
99361,VOC,548.0
100375,VOC,547.0
101390,VOC,546.0
102405,VOC,547.0
103420,VOC,547.0
104435,VOC,546.0
105450,VOC,541.0
106465,VOC,535.0
107480,VOC,531.0
108495,VOC,527.0
109510,VOC,525.0
110525,VOC,523.0
111540,VOC,520.0
112555,VOC,520.0
113570,VOC,523.0
114585,VOC,529.0
115600,VOC,535.0
116615,VOC,541.0
117630,VOC,547.0
118645,VOC,552.0
119660,VOC,554.0
120675,VOC,555.0
121690,VOC,556.0
122705,VOC,557.0
123720,VOC,557.0
124735,VOC,558.0
125750,VOC,559.0
126765,VOC,560.0
127780,VOC,561.0
128795,VOC,561.0
129810,VOC,554.0
130825,VOC,545.0
131840,VOC,540.0
132855,VOC,538.0
133870,VOC,538.0
134885,VOC,541.0
135900,VOC,543.0
136915,VOC,545.0
137930,VOC,546.0
138945,VOC,545.0
139960,VOC,543.0
140975,VOC,545.0
141990,VOC,544.0
143005,VOC,542.0
144020,VOC,540.0
145035,VOC,538.0
146050,VOC,536.0
147065,VOC,535.0
148080,VOC,534.0
149095,VOC,534.0
150110,VOC,533.0
151125,VOC,533.0
152140,VOC,532.0
153155,VOC,533.0
154170,VOC,534.0
155185,VOC,533.0
156200,VOC,533.0
157215,VOC,532.0
158230,VOC,531.0
159245,VOC,531.0
160260,VOC,528.0
161275,VOC,525.0
162290,VOC,525.0
163305,VOC,523.0
164320,VOC,522.0
165335,VOC,521.0
166350,VOC,519.0
167365,VOC,521.0
168380,VOC,521.0
169395,VOC,521.0
170410,VOC,518.0
171425,VOC,513.0
172440,VOC,512.0
173455,VOC,509.0
174470,VOC,506.0
175485,VOC,501.0
176500,VOC,497.0
177515,VOC,496.0
178530,VOC,493.0
179545,VOC,493.0
180560,VOC,495.0
181575,VOC,495.0
182590,VOC,494.0
183605,VOC,494.0
184620,VOC,494.0
185635,VOC,495.0
186650,VOC,495.0
187665,VOC,496.0
188680,VOC,497.0
189695,VOC,499.0
190710,VOC,501.0
191725,VOC,503.0
192740,VOC,506.0
193755,VOC,510.0
194770,VOC,512.0
195785,VOC,513.0
196800,VOC,515.0
197815,VOC,515.0
198830,VOC,515.0
199845,VOC,515.0
200860,VOC,513.0
201875,VOC,512.0
202890,VOC,509.0
203905,VOC,508.0
204920,VOC,507.0
205935,VOC,507.0
206950,VOC,508.0
207965,VOC,509.0
208980,VOC,509.0
209995,VOC,509.0
211010,VOC,510.0
212025,VOC,509.0
213040,VOC,510.0
214055,VOC,507.0
215070,VOC,505.0
216085,VOC,502.0
217100,VOC,502.0
218115,VOC,498.0
219130,VOC,498.0
220145,VOC,496.0
221160,VOC,494.0
222175,VOC,493.0
223190,VOC,489.0
224205,VOC,485.0
225220,VOC,482.0
226235,VOC,479.0
227250,VOC,478.0
228265,VOC,476.0
229280,VOC,477.0
230295,VOC,475.0
231310,VOC,474.0
232325,VOC,474.0
233340,VOC,473.0
234355,VOC,472.0
235370,VOC,469.0
236385,VOC,467.0
237400,VOC,468.0
238415,VOC,469.0
239430,VOC,470.0
240445,VOC,472.0
241460,VOC,473.0
242475,VOC,474.0
243490,VOC,476.0
244505,VOC,477.0
245520,VOC,478.0
246535,VOC,481.0
247550,VOC,482.0
248565,VOC,484.0
249580,VOC,486.0
250595,VOC,487.0
251610,VOC,487.0
252625,VOC,490.0
253640,VOC,491.0
254655,VOC,490.0
255670,VOC,490.0
256685,VOC,491.0
257700,VOC,490.0
258715,VOC,489.0
259730,VOC,489.0
260745,VOC,490.0
261760,VOC,489.0
262775,VOC,489.0
263790,VOC,488.0
264805,VOC,488.0
265820,VOC,487.0
266835,VOC,487.0
267850,VOC,487.0
268865,VOC,487.0
269880,VOC,488.0
270895,VOC,489.0
271910,VOC,487.0
272925,VOC,486.0
273940,VOC,486.0
274955,VOC,484.0
275970,VOC,483.0
276985,VOC,482.0
278000,VOC,483.0
279015,VOC,483.0
280030,VOC,483.0
281045,VOC,482.0
282060,VOC,480.0
283075,VOC,480.0
284090,VOC,479.0
285105,VOC,476.0
286120,VOC,473.0
287135,VOC,472.0
288150,VOC,471.0
289165,VOC,470.0
290180,VOC,469.0
291195,VOC,468.0
292210,VOC,468.0
293225,VOC,467.0
294240,VOC,464.0
295255,VOC,463.0
296270,VOC,462.0
297285,VOC,462.0
298300,VOC,461.0
299315,VOC,460.0
300330,VOC,458.0
301345,VOC,457.0
302360,VOC,457.0
303375,VOC,457.0
304390,VOC,455.0
305405,VOC,454.0
306420,VOC,454.0
307435,VOC,454.0
308450,VOC,453.0
309465,VOC,453.0
310480,VOC,452.0
311495,VOC,450.0
312510,VOC,452.0
313525,VOC,454.0
314540,VOC,457.0
315555,VOC,460.0
316570,VOC,461.0
317585,VOC,463.0
318600,VOC,463.0
319615,VOC,463.0
320630,VOC,463.0
321645,VOC,463.0
322660,VOC,464.0
323675,VOC,464.0
324690,VOC,464.0
325705,VOC,464.0
326720,VOC,466.0
327735,VOC,464.0
328750,VOC,465.0
329765,VOC,468.0
330780,VOC,468.0
331795,VOC,471.0
332810,VOC,471.0
333825,VOC,471.0
334840,VOC,470.0
335855,VOC,470.0
336870,VOC,470.0
337885,VOC,465.0
338900,VOC,465.0
339915,VOC,469.0
340930,VOC,471.0
341945,VOC,467.0
342960,VOC,465.0
343975,VOC,464.0
344990,VOC,463.0
346005,VOC,460.0
347020,VOC,457.0
348035,VOC,452.0
349050,VOC,450.0
350065,VOC,449.0
351080,VOC,449.0
352095,VOC,448.0
353110,VOC,448.0
354125,VOC,451.0
355140,VOC,452.0
356155,VOC,451.0
357170,VOC,451.0
358185,VOC,452.0
359200,VOC,451.0
