timestamp,smoke,flame,co,voc,temp,humid
1455000,69,2,426,398,19.17,49.48
1455100,65,0,426,397,19.18,49.49
1455200,68,2,428,398,19.19,49.52
1455300,68,2,426,398,19.17,49.48
1455400,68,1,426,398,19.18,49.46
1455500,68,0,424,398,19.18,49.50
1455600,67,0,426,397,19.18,49.47
1455700,68,0,424,397,19.19,49.47
1455800,68,1,425,397,19.18,49.52
1455900,68,0,423,398,19.18,49.49
1456000,69,1,422,398,19.17,49.47
1456100,66,1,423,398,19.18,49.48
1456200,68,23,422,397,19.18,49.50
1456300,69,1,424,398,19.17,49.49
1456400,68,6,424,398,19.18,49.52
1456500,68,0,425,397,19.17,49.48
1456600,68,0,425,398,19.18,49.49
1456700,68,0,426,398,19.18,49.48
1456800,68,0,426,398,19.17,49.45
1456900,68,0,426,398,19.19,49.45
1457000,68,0,426,398,19.18,49.47
1457100,69,1,426,398,19.18,49.49
1457200,66,1,426,398,19.19,49.48
1457300,69,2,425,398,19.20,49.50
1457400,70,0,426,398,19.17,49.46
1457500,68,0,426,398,19.19,49.48
1457600,69,0,426,398,19.19,49.47
1457700,68,1,426,398,19.20,49.48
1457800,69,2,427,398,19.19,49.44
1457900,67,0,427,398,19.19,49.44
1458000,68,0,428,399,19.20,49.45
1458100,68,3,427,398,19.18,49.44
1458200,66,0,427,397,19.19,49.43
1458300,69,0,429,399,19.19,49.45
1458400,66,0,429,399,19.19,49.45
1458500,67,0,429,398,19.19,49.49
1458600,68,1,429,398,19.18,49.44
1458700,68,1,428,398,19.20,49.42
1458800,68,0,429,399,19.17,49.44
1458900,69,3,429,399,19.19,49.45
1459000,67,1,429,398,19.19,49.41
1459100,67,1,430,398,19.18,49.41
1459200,68,0,429,398,19.19,49.42
1459300,68,0,430,398,19.18,49.44
1459400,66,0,431,399,19.19,49.41
1459500,68,0,432,398,19.18,49.42
1459600,68,0,433,399,19.19,49.43
1459700,69,2,433,398,19.17,49.40
1459800,69,2,433,399,19.16,49.39
1459900,66,0,433,399,19.19,49.42
1460000,68,0,433,399,19.18,49.41
1460100,68,1,433,399,19.20,49.39
1460200,69,2,433,398,19.17,49.41
1460300,68,0,432,398,19.18,49.38
1460400,68,1,432,398,19.18,49.36
1460500,66,2,433,398,19.19,49.39
1460600,68,2,433,399,19.18,49.37
1460700,68,0,433,398,19.17,49.40
1460800,68,0,433,399,19.17,49.40
1460900,68,0,434,399,19.18,49.40
1461000,66,1,433,399,19.18,49.38
1461100,68,1,435,398,19.17,49.36
1461200,68,1,436,399,19.16,49.36
1461300,67,1,437,399,19.18,49.40
1461400,68,0,437,399,19.17,49.35
1461500,66,0,436,399,19.17,49.38
1461600,68,2,435,398,19.17,49.35
1461700,68,1,434,399,19.18,49.37
1461800,69,1,434,398,19.18,49.40
1461900,67,0,434,399,19.19,49.35
1462000,68,1,433,399,19.18,49.37
1462100,68,1,432,399,19.17,49.34
1462200,68,1,433,399,19.17,49.37
1462300,67,1,433,399,19.17,49.37
1462400,68,25,433,399,19.17,49.35
1462500,67,1,432,398,19.19,49.39
1462600,69,1,431,398,19.19,49.38
1462700,67,0,431,399,19.18,49.41
1462800,68,1,432,399,19.17,49.37
1462900,66,0,432,399,19.18,49.35
1463000,68,1,432,398,19.16,49.40
1463100,69,1,432,398,19.18,49.39
1463200,68,0,432,399,19.18,49.36
1463300,68,1,431,399,19.19,49.36
1463400,70,0,431,398,19.17,49.40
1463500,69,2,430,399,19.17,49.40
1463600,68,0,429,399,19.18,49.40
1463700,69,1,429,399,19.18,49.38
1463800,66,0,429,399,19.18,49.41
1463900,68,4,428,399,19.18,49.38
1464000,67,0,429,399,19.19,49.39
1464100,68,1,429,399,19.17,49.40
1464200,67,1,429,399,19.16,49.41
1464300,68,2,429,399,19.18,49.39
1464400,69,1,429,399,19.17,49.42
1464500,68,0,427,399,19.18,49.37
1464600,68,1,425,399,19.17,49.39
1464700,67,1,425,398,19.18,49.36
1464800,68,0,426,399,19.18,49.38
1464900,68,2,426,399,19.18,49.41
