timestamp,smoke,voc,co,flame,temp,hum
2071380,476,919,270,6,52.41,17.02
2071480,476,919,268,5,52.41,17.12
2071580,476,919,265,5,52.41,17.04
2071680,475,919,263,4,52.39,16.74
2071780,475,918,263,3,52.38,16.39
2071880,475,918,260,4,52.36,16.15
2071980,474,918,256,3,52.33,15.79
2072080,473,918,251,3,52.28,15.60
2072180,472,918,247,3,52.25,15.92
2072280,472,918,250,2,52.22,16.15
2072380,471,918,256,2,52.19,16.23
2072480,471,918,262,2,52.16,16.19
2072580,470,918,266,3,52.13,16.26
2072680,469,918,265,2,52.12,16.17
2072780,469,918,263,2,52.11,15.98
2072880,468,918,261,2,52.08,15.84
2072980,468,918,260,2,52.05,15.68
2073080,467,918,261,3,52.04,15.73
2073180,466,918,261,3,52.01,16.20
2073280,465,918,261,3,52.00,16.39
2073380,465,918,261,4,51.98,16.50
2073480,464,918,261,3,51.98,16.83
2073580,463,918,259,3,51.97,16.74
2073680,462,918,259,4,51.95,16.51
2073780,462,918,259,4,51.94,16.49
2073880,461,918,262,4,51.92,16.64
2073980,461,918,264,4,51.94,17.42
2074080,460,918,265,4,51.96,18.36
2074180,459,919,266,4,52.01,18.92
2074280,460,919,270,5,52.04,19.37
2074380,460,918,274,5,52.10,19.44
2074480,461,919,278,5,52.16,19.51
2074580,462,919,283,5,52.19,19.23
2074680,463,919,286,5,52.23,18.96
2074780,464,920,286,5,52.25,18.89
2074880,464,920,284,4,52.27,18.87
2074980,463,920,279,6,52.29,18.54
2075080,463,920,273,5,52.29,17.95
2075180,461,920,268,2,52.28,17.29
2075280,459,919,262,5,52.25,16.65
2075380,457,919,256,5,52.21,16.27
2075480,455,918,251,5,52.19,15.89
2075580,452,917,248,5,52.14,15.77
2075680,450,918,246,5,52.10,15.76
2075780,447,917,245,5,52.08,15.86
2075880,445,917,247,4,52.06,16.16
2075980,443,917,250,4,52.03,16.31
2076080,442,917,255,4,52.01,16.18
2076180,441,916,260,4,52.00,15.96
2076280,440,916,260,3,51.97,15.62
2076380,439,915,258,4,51.95,15.66
2076480,439,915,257,3,51.92,15.84
2076580,439,915,256,3,51.90,15.85
2076680,439,915,257,3,51.88,15.81
2076780,439,914,259,3,51.87,15.72
2076880,439,914,261,3,51.86,15.88
2076980,439,914,268,2,51.85,16.43
2077080,439,913,273,2,51.87,16.72
2077180,438,914,276,2,51.86,16.99
2077280,439,914,277,2,51.89,17.29
2077380,439,913,278,2,51.92,17.39
2077480,440,914,277,3,51.94,17.40
2077580,440,914,276,3,51.96,17.35
2077680,440,914,275,3,51.96,17.32
2077780,440,913,275,3,51.96,17.09
2077880,440,914,273,4,51.95,16.72
2077980,440,914,272,4,51.94,16.36
2078080,440,913,270,4,51.93,16.02
2078180,440,913,267,4,51.90,15.94
2078280,439,914,265,5,51.87,15.71
2078380,440,913,261,5,51.82,15.47
2078480,441,912,259,5,51.79,15.35
2078580,441,912,258,6,51.75,15.40
2078680,442,913,258,6,51.73,15.77
2078780,443,912,258,6,51.70,16.17
2078880,444,912,258,7,51.69,16.62
2078980,445,912,259,8,51.69,17.35
2079080,447,912,262,7,51.69,17.79
2079180,447,912,264,7,51.70,17.76
2079280,449,912,267,8,51.71,17.64
2079380,450,912,269,8,51.71,17.65
2079480,451,912,271,8,51.71,17.63
2079580,453,912,274,8,51.72,17.69
2079680,452,913,277,8,51.72,17.69
2079780,453,913,277,8,51.73,17.76
2079880,453,913,278,9,51.74,17.87
2079980,453,913,279,9,51.75,18.08
2080080,453,914,279,9,51.74,18.05
2080180,454,914,280,9,51.75,17.88
2080280,454,914,283,9,51.77,17.75
2080380,454,915,286,10,51.77,17.57
2080480,454,915,288,9,51.76,17.45
2080580,455,914,288,9,51.78,17.51
2080680,455,915,287,8,51.80,18.14
2080780,455,915,283,9,51.83,18.65
2080880,454,915,279,9,51.86,18.70
2080980,455,915,274,10,51.87,18.52
2081080,455,915,271,10,51.90,18.43
2081180,455,915,269,8,51.91,18.32
