timestamp,smoke,voc,co,flame,temp,hum
1817057,138,948,29,248,25.57,42.23
1817157,151,934,29,213,25.98,41.62
1817257,159,932,32,201,26.34,41.34
1817357,161,929,31,195,26.31,41.96
1817457,175,919,29,182,26.34,42.42
1817557,167,915,33,151,26.62,41.8
1817657,167,902,29,172,26.73,42.25
1817757,171,890,29,188,26.78,42.84
1817857,159,882,30,177,26.88,42.84
1817957,168,890,32,199,26.83,42.86
1818057,169,880,30,165,27.08,42.88
1818157,176,889,30,169,27.32,42.77
1818257,187,895,33,157,27.46,42.13
1818357,184,887,28,138,27.71,41.45
1818457,171,878,32,113,27.93,41.74
1818557,175,884,29,118,28.27,41.87
1818657,166,880,33,143,28.27,42.48
1818757,178,871,30,137,28.56,42.81
1818857,176,871,29,128,28.63,43.44
1818957,162,877,26,135,28.68,43.58
1819057,156,865,28,143,28.97,43.48
1819157,173,864,30,154,28.9,44.04
1819257,174,866,34,179,28.86,43.9
1819357,179,863,36,155,28.84,43.75
1819457,175,871,33,145,28.84,43.85
1819557,179,874,37,171,28.9,43.8
1819657,176,884,34,150,28.9,44.05
1819757,175,881,35,174,28.77,43.51
1819857,187,877,37,145,28.92,43.8
1819957,179,869,32,132,28.78,43.17
1820057,180,865,33,145,28.86,43.75
1820157,191,858,37,118,28.78,44.35
1820257,188,869,35,155,28.72,44.37
1820357,176,871,34,155,28.95,43.81
1820457,172,868,35,156,28.89,44.09
1820557,179,868,37,180,28.93,44.26
1820657,165,872,33,159,28.78,44.06
1820757,180,862,30,157,28.72,43.18
1820857,170,861,28,149,28.62,43.26
1820957,160,867,29,142,28.59,42.61
1821057,152,861,29,140,28.71,42.88
1821157,145,866,26,129,28.81,42.89
1821257,153,868,30,133,28.67,42.37
1821357,169,869,30,148,28.88,42.52
1821457,174,864,28,139,28.95,41.84
1821557,171,872,28,147,29.1,42.43
1821657,181,873,29,175,29.36,42.05
1821757,178,864,28,145,29.6,41.52
1821857,171,864,28,166,29.82,41.34
1821957,167,871,26,179,29.84,41.15
1822057,164,876,30,169,29.62,40.71
1822157,164,869,28,165,29.58,41.51
1822257,176,874,32,178,29.83,42.04
1822357,179,865,36,147,30.03,41.87
1822457,183,868,31,134,29.99,41.86
1822557,177,868,29,113,29.97,42.55
1822657,165,866,33,148,29.84,42.5
1822757,166,878,35,166,29.81,42.09
1822857,157,876,33,190,30,41.84
1822957,156,876,35,186,30.03,42.44
1823057,151,885,34,170,30.1,43.18
1823157,153,878,30,186,29.85,43.6
1823257,151,888,26,174,30.03,44.01
1823357,153,893,27,169,30.26,44.03
1823457,146,899,25,162,30.44,44.03
1823557,160,902,24,131,30.31,43.57
1823657,157,897,28,144,30.22,42.87
1823757,162,886,26,118,30.28,42.39
1823857,164,894,26,126,30.28,42.66
1823957,165,896,27,112,30.19,42.06
1824057,171,889,28,142,30.2,42.5
1824157,167,895,25,163,30.37,42.16
1824257,174,885,24,155,30.46,42.35
1824357,171,889,26,126,30.46,41.7
1824457,163,887,29,154,30.38,42.05
1824557,155,880,26,172,30.2,42.52
1824657,154,888,28,139,30.44,42.18
1824757,153,886,32,160,30.44,41.46
1824857,165,889,36,142,30.58,41.93
1824957,170,897,37,131,30.42,41.59
1825057,156,899,37,146,30.54,41.27
1825157,153,902,38,133,30.62,41.56
1825257,152,906,41,163,30.43,41.59
1825357,161,892,38,167,30.53,41.63
1825457,157,882,34,184,30.31,41.1
1825557,174,870,29,192,30.39,41.19
1825657,185,874,30,170,30.56,41.63
1825757,192,869,28,190,30.7,41.08
1825857,201,876,33,154,30.45,40.89
1825957,199,867,37,144,30.46,40.86
1826057,208,869,35,149,30.67,40.83
1826157,193,881,35,122,30.48,41.19
1826257,185,884,33,153,30.47,41.73
1826357,180,877,29,134,30.58,42.19
1826457,192,884,33,137,30.33,41.47
1826557,186,872,31,169,30.07,40.85
1826657,198,867,28,176,30.09,40.83
1826757,190,868,26,179,29.96,40.39
1826857,185,876,31,192,30.01,39.99
