timestamp,smoke,voc,co,flame,temp,hum
1061780,365,741,48,170,38.31,91.34
1061880,366,742,48,170,38.25,91.76
1061980,366,742,48,170,38.21,92.56
1062080,366,742,48,170,38.20,93.61
1062180,366,743,47,169,38.19,94.51
1062280,366,744,48,169,38.18,95.26
1062380,366,744,48,169,38.18,96.00
1062480,367,744,47,169,38.18,96.76
1062580,367,745,47,168,38.19,97.76
1062680,367,745,48,168,38.22,98.87
1062780,367,745,47,168,38.28,100.00
1062880,367,745,47,167,38.33,100.00
1062980,367,745,47,167,38.39,100.00
1063080,366,746,48,165,38.45,100.00
1063180,367,746,46,167,38.50,100.00
1063280,366,746,47,167,38.56,100.00
1063380,366,746,48,166,38.62,100.00
1063480,366,745,47,168,38.68,100.00
1063580,365,746,47,168,38.73,100.00
1063680,365,745,47,169,38.76,100.00
1063780,365,744,48,169,38.77,100.00
1063880,365,744,47,169,38.76,100.00
1063980,365,742,47,170,38.74,100.00
1064080,365,741,47,170,38.71,100.00
1064180,365,742,47,170,38.66,100.00
1064280,364,743,48,171,38.61,99.94
1064380,365,743,47,171,38.55,99.84
1064480,365,744,48,171,38.53,100.00
1064580,365,744,47,172,38.52,100.00
1064680,364,745,47,172,38.53,100.00
1064780,365,745,48,172,38.55,100.00
1064880,365,746,47,173,38.57,100.00
1064980,365,746,48,173,38.63,100.00
1065080,365,746,47,173,38.67,100.00
1065180,365,746,47,174,38.72,100.00
1065280,364,747,48,174,38.78,100.00
1065380,364,746,48,177,38.85,100.00
1065480,364,747,48,175,38.89,100.00
1065580,363,747,46,174,38.94,100.00
1065680,363,746,47,174,38.99,100.00
1065780,362,747,46,174,39.05,100.00
1065880,363,747,47,173,39.10,100.00
1065980,363,747,48,173,39.15,100.00
1066080,363,748,46,172,39.23,100.00
1066180,363,748,48,172,39.31,100.00
1066280,363,749,46,170,39.43,100.00
1066380,363,748,47,171,39.54,100.00
1066480,363,748,47,168,39.64,100.00
1066580,364,749,46,170,39.74,100.00
1066680,364,749,47,169,39.85,100.00
1066780,364,749,606,169,40.00,100.00
1066880,364,749,431,169,40.15,100.00
1066980,364,750,57,168,40.27,100.00
1067080,364,749,55,169,40.38,100.00
1067180,364,749,55,169,40.45,100.00
1067280,364,749,55,169,40.53,100.00
1067380,363,748,54,169,40.59,100.00
1067480,364,748,53,169,40.64,100.00
1067580,364,749,54,169,40.67,100.00
1067680,364,748,53,170,40.68,100.00
1067780,364,747,54,170,40.69,100.00
1067880,363,748,53,171,40.72,100.00
1067980,363,749,60,171,40.81,100.00
1068080,364,748,61,171,40.91,100.00
1068180,364,748,58,171,41.02,100.00
1068280,364,748,56,172,41.10,100.00
1068380,364,749,59,172,41.18,100.00
1068480,364,747,51,172,41.25,100.00
1068580,363,748,51,172,41.30,100.00
1068680,363,747,50,173,41.36,100.00
1068780,363,746,49,173,41.34,100.00
1068880,363,746,49,172,41.30,100.00
1068980,363,746,50,173,41.22,100.00
1069080,363,746,50,173,41.14,100.00
1069180,363,745,50,173,41.11,100.00
1069280,363,745,50,173,41.12,100.00
1069380,364,746,49,173,41.16,100.00
1069480,364,746,49,173,41.23,100.00
1069580,364,746,49,173,41.30,100.00
1069680,364,746,48,172,41.33,100.00
1069780,364,746,49,172,41.36,100.00
1069880,364,747,49,172,41.40,100.00
1069980,364,747,49,172,41.42,100.00
1070080,364,746,48,171,41.42,100.00
1070180,364,746,48,170,41.39,100.00
1070280,364,746,48,170,41.39,100.00
1070380,364,746,48,170,41.37,100.00
1070480,364,744,48,170,41.37,100.00
1070580,364,744,48,169,41.35,100.00
1070680,364,744,48,170,41.33,100.00
1070780,365,744,48,171,41.31,100.00
1070880,364,744,48,171,41.26,100.00
1070980,364,744,47,171,41.22,100.00
1071080,365,744,47,171,41.16,100.00
1071180,365,744,48,172,41.10,100.00
1071280,365,744,47,173,41.03,100.00
1071380,364,744,47,173,40.93,100.00
1071480,365,744,47,173,40.88,100.00
1071580,365,743,47,174,40.83,100.00
