timestamp,smoke,voc,co,flame,temp,hum
183280,443,907,879,983,36.29,28.74
183380,443,906,873,983,36.25,28.73
183480,442,907,875,984,36.21,28.74
183580,441,905,877,984,36.17,28.74
183680,441,906,879,983,36.13,28.81
183780,439,905,888,984,36.10,28.86
183880,438,904,883,983,36.08,28.99
183980,437,904,887,981,36.06,29.12
184080,436,904,885,984,36.04,29.20
184180,435,903,880,985,36.02,29.27
184280,433,902,881,985,35.98,29.29
184380,432,902,881,984,35.95,29.20
184480,431,901,882,983,35.92,29.17
184580,429,900,881,985,35.88,29.26
184680,428,900,880,984,35.84,29.35
184780,427,899,880,983,35.84,29.50
184880,425,898,880,984,35.84,29.77
184980,423,897,881,983,35.84,29.79
185080,421,897,883,980,35.85,29.85
185180,420,896,884,983,35.84,29.93
185280,418,896,892,982,35.85,29.97
185380,417,894,882,980,35.83,29.92
185480,414,894,885,983,35.83,29.87
185580,412,894,887,982,35.80,29.84
185680,411,893,889,981,35.78,29.76
185780,409,892,887,984,35.75,29.71
185880,408,891,883,984,35.72,29.64
185980,406,891,881,984,35.70,29.57
186080,404,890,880,986,35.68,29.57
186180,403,889,869,984,35.63,29.60
186280,401,889,868,985,35.59,29.58
186380,400,888,884,984,35.55,29.54
186480,398,888,878,985,35.51,29.50
186580,397,887,874,984,35.46,29.60
186680,395,886,869,984,35.44,29.83
186780,394,886,860,984,35.45,29.94
186880,392,886,861,983,35.44,30.09
186980,391,885,860,982,35.44,30.19
187080,390,885,839,982,35.44,30.35
187180,389,884,870,982,35.46,30.53
187280,387,884,877,985,35.51,30.62
187380,386,883,870,983,35.51,30.62
187480,385,883,855,984,35.52,30.62
187580,384,882,852,983,35.53,30.61
187680,383,882,854,982,35.55,30.53
187780,382,882,850,981,35.54,30.53
187880,381,881,844,981,35.55,30.60
187980,380,880,844,984,35.55,30.64
188080,379,880,842,983,35.57,30.69
188180,378,879,836,982,35.57,30.61
188280,377,879,834,983,35.56,30.46
188380,376,878,833,982,35.56,30.39
188480,375,878,839,983,35.55,30.55
188580,375,877,839,984,35.57,30.56
188680,374,878,835,984,35.58,30.60
188780,373,877,834,985,35.59,30.55
188880,372,876,835,984,35.61,30.49
188980,371,876,838,985,35.59,30.32
189080,370,876,836,984,35.57,30.21
189180,370,876,834,985,35.55,30.07
189280,370,876,836,984,35.50,29.97
189380,369,875,838,984,35.48,30.01
189480,369,874,831,984,35.44,30.09
189580,369,874,827,984,35.41,30.04
189680,368,874,829,984,35.38,30.05
189780,368,873,829,984,35.35,30.04
189880,367,873,832,985,35.33,30.13
189980,366,872,826,983,35.33,30.20
190080,366,873,823,984,35.31,30.25
190180,365,872,821,984,35.33,30.38
190280,364,872,818,984,35.34,30.58
190380,364,871,814,986,35.38,30.79
190480,363,870,818,984,35.43,30.98
190580,362,871,819,984,35.46,30.95
190680,361,870,821,984,35.49,30.90
190780,360,870,823,984,35.52,30.76
190880,360,870,832,984,35.52,30.63
190980,359,869,837,984,35.53,30.46
191080,358,869,836,984,35.50,30.36
191180,357,868,836,986,35.48,30.26
191280,357,868,837,984,35.45,30.25
191380,356,868,837,985,35.43,30.32
191480,355,867,836,984,35.44,30.45
191580,356,867,840,984,35.44,30.46
191680,358,867,839,984,35.45,30.52
191780,361,868,843,984,35.46,30.48
191880,364,870,846,984,35.47,30.49
191980,367,872,851,984,35.48,30.63
192080,371,873,857,983,35.51,30.77
192180,374,875,859,984,35.54,30.87
192280,377,876,865,984,35.59,30.90
192380,380,877,867,983,35.61,30.83
192480,383,877,867,985,35.64,30.85
192580,384,878,868,981,35.65,30.73
192680,386,878,867,984,35.66,30.60
192780,387,878,863,984,35.65,30.55
192880,388,879,872,985,35.66,30.52
192980,388,880,875,984,35.65,30.50
193080,389,879,880,984,35.66,30.41
