timestamp,smoke,voc,co,flame,temp,hum
897180,123,495,514,286,16.61,74.36
897280,121,495,512,235,16.62,74.30
897380,121,495,511,188,16.62,74.31
897480,121,495,515,206,16.62,74.25
897580,121,495,517,219,16.62,74.21
897680,121,495,517,203,16.61,74.21
897780,120,495,517,216,16.61,74.16
897880,122,495,517,230,16.61,74.17
897980,120,495,517,216,16.61,74.12
898080,120,495,515,159,16.61,74.12
898180,122,495,518,225,16.61,74.09
898280,123,495,520,272,16.59,74.09
898380,123,495,521,304,16.60,74.09
898480,123,495,519,286,16.60,74.12
898580,122,495,516,239,16.61,74.06
898680,123,495,519,289,16.59,74.03
898780,122,495,518,271,16.60,74.03
898880,123,495,518,269,16.61,74.01
898980,122,495,516,243,16.59,73.99
899080,123,495,518,266,16.59,74.03
899180,122,495,520,293,16.59,74.10
899280,124,495,521,327,16.61,74.16
899380,123,495,520,313,16.60,74.22
899480,122,495,519,307,16.62,74.25
899580,124,495,520,339,16.63,74.24
899680,124,495,518,315,16.62,74.22
899780,123,495,518,316,16.63,74.24
899880,124,495,520,342,16.64,74.21
899980,124,495,519,339,16.64,74.18
900080,123,495,519,349,16.62,74.18
900180,124,495,518,331,16.63,74.11
900280,123,495,519,367,16.63,74.10
900380,124,495,517,337,16.61,74.10
900480,124,495,519,357,16.62,74.02
900580,122,495,513,264,16.61,74.02
900680,123,496,518,299,16.61,73.99
900780,123,495,519,324,16.61,73.98
900880,125,496,522,372,16.61,73.96
900980,124,495,520,342,16.60,73.98
901080,124,495,519,346,16.62,73.94
901180,125,495,522,379,16.60,73.93
901280,125,496,522,395,16.61,73.93
901380,124,496,516,323,16.60,73.91
901480,125,496,520,386,16.62,73.90
901580,125,495,517,339,16.61,73.89
901680,122,495,517,316,16.60,73.89
901780,127,495,521,406,16.59,73.86
901880,122,495,517,343,16.59,73.87
901980,125,495,519,360,16.59,73.86
902080,123,495,520,387,16.58,73.88
902180,125,496,518,376,16.59,73.83
902280,124,495,519,374,16.58,73.84
902380,126,496,521,392,16.60,73.81
902480,124,496,518,358,16.59,73.81
902580,124,496,518,343,16.58,73.78
902680,123,496,518,327,16.59,73.79
902780,125,496,519,338,16.57,73.78
902880,124,496,519,334,16.58,73.79
902980,124,496,520,352,16.57,73.80
903080,125,496,520,345,16.57,73.77
903180,125,496,522,375,16.58,73.79
903280,126,496,522,380,16.57,73.74
903380,126,496,521,382,16.58,73.74
903480,124,496,520,386,16.58,73.74
903580,126,496,519,372,16.58,73.74
903680,125,496,521,385,16.58,73.73
903780,126,496,517,373,16.57,73.71
903880,124,496,517,361,16.58,73.68
903980,124,496,520,346,16.56,73.69
904080,124,496,517,325,16.56,73.68
904180,125,496,516,324,16.56,73.69
904280,124,496,515,350,16.57,73.70
904380,125,496,515,351,16.58,73.71
904480,125,496,512,346,16.57,73.69
904580,122,497,514,344,16.56,73.69
904680,123,496,498,313,16.56,73.68
904780,124,497,507,306,16.57,73.67
904880,122,497,510,317,16.57,73.67
904980,122,497,513,306,16.56,73.70
905080,124,496,515,307,16.55,73.66
905180,123,497,517,307,16.57,73.69
905280,123,497,520,305,16.55,73.70
905380,123,497,517,314,16.56,73.66
905480,126,497,518,365,16.56,73.70
905580,126,498,511,381,16.55,73.71
905680,126,497,511,380,16.56,73.67
905780,125,497,513,362,16.56,73.69
905880,124,497,508,384,16.55,73.70
905980,125,497,509,376,16.53,73.70
906080,124,496,516,362,16.55,73.72
906180,124,496,513,364,16.56,73.71
906280,125,497,522,375,16.56,73.72
906380,124,497,512,372,16.56,73.74
906480,123,497,511,365,16.58,73.73
906580,124,497,512,352,16.55,73.73
906680,124,497,516,328,16.54,73.72
906780,123,497,519,315,16.53,73.73
906880,122,497,510,303,16.54,73.73
906980,124,497,525,326,16.53,73.71
