timestamp,smoke,voc,co,flame,temp,hum
502480,690,947,2,0,30.33,37.63
502580,689,948,2,0,30.32,37.69
502680,687,947,2,0,30.33,37.69
502780,686,948,2,0,30.33,37.75
502880,686,948,1,0,30.31,37.74
502980,692,950,2,0,30.32,37.72
503080,697,951,2,0,30.31,37.72
503180,700,953,2,0,30.31,37.69
503280,702,953,2,0,30.30,37.70
503380,705,953,2,0,30.30,37.67
503480,707,952,2,0,30.30,37.66
503580,708,953,2,0,30.31,37.67
503680,706,953,3,1,30.30,37.63
503780,702,952,2,0,30.29,37.62
503880,698,951,2,0,30.30,37.64
503980,696,951,1,1,30.30,37.72
504080,701,950,1,0,30.29,37.76
504180,702,950,1,0,30.31,37.79
504280,705,950,2,0,30.29,37.84
504380,715,951,2,0,30.29,37.85
504480,722,951,2,2,30.30,37.86
504580,725,951,1,0,30.29,37.85
504680,724,951,1,1,30.31,37.87
504780,721,951,2,0,30.30,37.90
504880,718,950,1,0,30.30,37.92
504980,715,950,2,0,30.30,37.88
505080,715,948,2,0,30.29,37.88
505180,712,947,2,0,30.30,37.86
505280,708,947,2,0,30.29,37.83
505380,708,947,2,1,30.28,37.79
505480,711,946,2,0,30.28,37.72
505580,712,946,1,0,30.28,37.73
505680,711,946,2,1,30.28,37.69
505780,710,945,1,1,30.27,37.75
505880,708,944,2,1,30.27,37.75
505980,710,944,2,0,30.27,37.73
506080,712,944,2,0,30.27,37.73
506180,715,942,1,1,30.28,37.70
506280,716,942,2,0,30.27,37.63
506380,716,941,2,0,30.25,37.63
506480,714,940,2,0,30.25,37.56
506580,712,941,2,0,30.25,37.53
506680,712,941,1,0,30.24,37.47
506780,712,940,0,0,30.26,37.48
506880,715,940,2,0,30.25,37.46
506980,717,940,1,0,30.24,37.46
507080,717,939,1,1,30.23,37.42
507180,717,938,1,0,30.24,37.45
507280,718,938,2,0,30.23,37.43
507380,719,937,2,0,30.24,37.39
507480,720,936,2,1,30.22,37.40
507580,720,935,2,0,30.23,37.34
507680,720,935,2,1,30.22,37.32
507780,720,938,2,0,30.22,37.27
507880,721,950,2,1,30.22,37.20
507980,724,959,2,0,30.21,37.14
508080,725,963,1,0,30.21,37.05
508180,723,965,2,0,30.18,37.04
508280,719,966,1,0,30.18,37.00
508380,714,966,2,0,30.17,37.00
508480,708,966,1,0,30.15,36.96
508580,702,965,2,0,30.16,36.95
508680,702,965,2,1,30.15,37.00
508780,700,965,2,0,30.14,37.16
508880,701,966,2,0,30.14,37.32
508980,701,968,2,0,30.15,37.51
509080,701,967,1,0,30.14,37.70
509180,702,967,1,0,30.14,37.82
509280,702,966,2,1,30.13,37.95
509380,701,965,2,0,30.14,38.04
509480,700,964,2,0,30.13,38.11
509580,700,962,2,0,30.13,38.20
509680,700,960,2,1,30.13,38.28
509780,701,959,2,1,30.13,38.31
509880,702,958,2,0,30.14,38.34
509980,704,957,2,0,30.14,38.33
510080,706,957,1,0,30.14,38.25
510180,709,957,1,0,30.14,38.23
510280,712,957,2,1,30.14,38.27
510380,714,955,2,0,30.13,38.27
510480,714,954,1,1,30.13,38.34
510580,714,954,2,0,30.13,38.34
510680,714,953,2,0,30.12,38.34
510780,713,952,1,0,30.13,38.34
510880,709,952,2,0,30.13,38.37
510980,705,951,2,1,30.13,38.39
511080,708,951,2,1,30.14,38.46
511180,710,955,2,1,30.14,38.54
511280,709,958,0,0,30.15,38.66
511380,708,962,2,0,30.15,38.72
511480,710,963,2,1,30.15,38.75
511580,713,965,2,0,30.16,38.78
511680,714,967,2,1,30.16,38.92
511780,719,969,2,0,30.16,39.08
511880,726,970,1,1,30.16,39.19
511980,728,972,2,1,30.17,39.25
512080,726,971,2,1,30.19,39.35
512180,722,971,1,1,30.19,39.36
512280,717,971,2,0,30.21,39.31
