timestamp,smoke,flame,co,voc,temp,humid
1406100,68,1,428,403,19.11,49.43
1406200,69,1,427,403,19.13,49.47
1406300,70,1,428,402,19.12,49.52
1406400,70,1,426,402,19.12,49.52
1406500,69,1,426,402,19.12,49.53
1406600,67,0,425,402,19.12,49.55
1406700,70,1,426,402,19.12,49.53
1406800,66,2,428,402,19.13,49.53
1406900,66,1,428,402,19.12,49.53
1407000,67,0,432,402,19.10,49.50
1407100,69,0,432,402,19.12,49.47
1407200,69,3,433,402,19.12,49.46
1407300,68,1,434,402,19.12,49.44
1407400,69,1,435,403,19.11,49.39
1407500,69,0,438,403,19.12,49.36
1407600,68,0,436,402,19.11,49.35
1407700,70,0,436,403,19.11,49.28
1407800,70,1,435,402,19.11,49.32
1407900,68,2,436,402,19.11,49.25
1408000,68,0,435,403,19.10,49.24
1408100,70,0,436,403,19.11,49.24
1408200,69,1,435,403,19.11,49.24
1408300,68,1,436,403,19.12,49.19
1408400,67,2,437,402,19.11,49.22
1408500,70,0,439,403,19.10,49.27
1408600,69,1,439,403,19.10,49.24
1408700,68,1,440,402,19.10,49.22
1408800,68,0,440,403,19.12,49.25
1408900,68,0,439,402,19.12,49.26
1409000,68,1,439,402,19.12,49.30
1409100,68,0,439,402,19.11,49.32
1409200,67,1,438,403,19.11,49.31
1409300,70,0,438,402,19.10,49.38
1409400,69,0,438,402,19.12,49.36
1409500,67,3,439,401,19.12,49.40
1409600,69,1,439,402,19.12,49.41
1409700,68,0,440,402,19.11,49.46
1409800,69,0,439,402,19.11,49.48
1409900,68,1,439,402,19.11,49.51
1410000,68,2,439,402,19.13,49.48
1410100,69,0,437,405,19.12,49.52
1410200,70,0,439,402,19.11,49.50
1410300,67,3,437,402,19.10,49.54
1410400,68,1,435,403,19.11,49.54
1410500,70,2,434,402,19.12,49.52
1410600,66,2,435,402,19.11,49.51
1410700,68,0,433,403,19.12,49.52
1410800,66,0,432,402,19.11,49.50
1410900,67,1,432,402,19.12,49.54
1411000,70,0,432,402,19.12,49.52
1411100,69,1,431,402,19.10,49.50
1411200,68,0,431,402,19.12,49.47
1411300,69,0,431,402,19.12,49.44
1411400,69,1,432,401,19.12,49.43
1411500,67,1,434,403,19.13,49.44
1411600,69,0,434,401,19.12,49.39
1411700,69,0,434,402,19.11,49.37
1411800,68,3,434,402,19.11,49.35
1411900,66,1,437,402,19.11,49.33
1412000,68,1,436,401,19.11,49.30
1412100,67,1,437,401,19.11,49.29
1412200,68,0,434,401,19.12,49.26
1412300,67,2,432,401,19.12,49.22
1412400,69,1,429,402,19.13,49.21
1412500,67,0,430,402,19.13,49.26
1412600,67,0,430,402,19.13,49.20
1412700,67,1,429,402,19.12,49.21
1412800,67,1,432,402,19.12,49.18
1412900,68,0,433,402,19.12,49.19
1413000,67,1,432,402,19.11,49.21
1413100,68,0,432,402,19.11,49.19
1413200,69,1,432,402,19.12,49.16
1413300,69,1,431,401,19.12,49.15
1413400,68,0,432,403,19.11,49.13
1413500,66,1,432,401,19.12,49.09
1413600,68,1,431,401,19.12,49.08
1413700,69,0,430,401,19.12,49.04
1413800,68,0,431,401,19.11,49.03
1413900,69,1,430,402,19.12,49.00
1414000,68,3,430,401,19.10,48.96
1414100,69,2,429,402,19.12,48.96
1414200,67,0,429,401,19.11,48.95
1414300,67,0,429,401,19.12,48.93
1414400,69,1,428,401,19.13,48.96
1414500,69,2,428,401,19.12,48.96
1414600,69,1,427,400,19.11,48.98
1414700,69,1,425,401,19.12,48.99
1414800,68,2,426,401,19.11,48.99
1414900,67,1,425,401,19.11,49.03
1415000,69,1,426,402,19.12,48.99
1415100,67,0,426,401,19.12,49.02
1415200,68,0,428,401,19.11,49.03
1415300,69,2,427,401,19.11,48.99
1415400,69,1,428,401,19.11,49.04
1415500,69,1,428,401,19.12,49.00
1415600,66,0,429,400,19.12,49.03
1415700,67,0,430,401,19.11,49.03
1415800,67,0,429,401,19.11,49.04
1415900,68,1,428,400,19.12,49.05
1416000,67,0,428,400,19.12,49.09
