timestamp,smoke,voc,co,flame,temp,hum
3319631,96,508,237,1,22.39,56.29
3319731,97,508,235,2,22.40,56.30
3319831,96,507,235,2,22.40,56.32
3319931,98,507,236,1,22.41,56.29
3320031,96,507,236,2,22.40,56.32
3320131,97,507,235,2,22.40,56.30
3320231,97,507,236,1,22.41,56.32
3320331,97,507,235,1,22.41,56.34
3320431,97,507,235,1,22.42,56.30
3320531,96,507,236,0,22.41,56.33
3320631,96,507,236,0,22.40,56.29
3320731,97,507,236,1,22.42,56.31
3320831,98,508,236,2,22.41,56.30
3320931,97,507,236,2,22.42,56.31
3321031,96,508,236,2,22.42,56.29
3321131,96,507,236,1,22.42,56.27
3321231,97,507,237,2,22.40,56.28
3321331,98,508,236,0,22.42,56.29
3321431,98,508,235,0,22.41,56.29
3321531,96,508,236,0,22.41,56.28
3321631,98,508,236,2,22.42,56.30
3321731,96,507,237,0,22.41,56.28
3321831,96,507,237,0,22.42,56.31
3321931,98,507,236,1,22.41,56.32
3322031,96,508,235,1,22.42,56.30
3322131,97,507,237,0,22.40,56.28
3322231,97,508,236,1,22.40,56.29
3322331,96,508,235,2,22.42,56.32
3322431,98,508,236,2,22.43,56.28
3322531,96,508,235,2,22.42,56.30
3322631,98,508,236,2,22.42,56.27
3322731,97,508,237,0,22.42,56.29
3322831,96,508,237,0,22.42,56.27
3322931,98,507,236,2,22.41,56.27
3323031,98,507,236,1,22.40,56.29
3323131,98,508,237,2,22.42,56.30
3323231,97,508,235,1,22.42,56.24
3323331,96,508,235,1,22.43,56.31
3323431,98,507,237,2,22.44,56.31
3323531,98,507,236,2,22.42,56.28
3323631,96,508,235,1,22.43,56.28
3323731,98,507,237,2,22.43,56.29
3323831,98,507,236,1,22.43,56.28
3323931,96,507,235,1,22.43,56.29
3324031,96,508,236,2,22.42,56.31
3324131,97,508,236,0,22.42,56.26
3324231,99,509,234,0,22.42,56.29
3324331,97,507,236,0,22.43,56.28
3324431,97,507,236,0,22.42,56.24
3324531,97,508,237,0,22.43,56.26
3324631,98,507,236,2,22.43,56.28
3324731,96,507,236,2,22.43,56.28
3324831,96,508,238,3,22.41,56.29
3324931,98,508,236,2,22.42,56.28
3325031,97,508,236,0,22.44,56.28
3325131,98,507,237,0,22.43,56.27
3325231,96,507,236,2,22.44,56.28
3325331,97,507,236,0,22.44,56.26
3325431,97,507,237,2,22.44,56.28
3325531,98,508,237,2,22.44,56.26
3325631,98,508,237,2,22.44,56.27
3325731,96,508,235,1,22.43,56.28
3325831,98,508,237,2,22.44,56.25
3325931,96,507,236,0,22.44,56.24
3326031,96,508,236,1,22.43,56.24
3326131,98,507,237,0,22.44,56.25
3326231,98,507,236,1,22.43,56.21
3326331,97,508,236,0,22.44,56.24
3326431,97,508,237,1,22.45,56.22
3326531,96,508,236,1,22.45,56.22
3326631,98,507,237,1,22.45,56.24
3326731,97,507,236,3,22.46,56.25
3326831,97,507,237,2,22.45,56.22
3326931,98,508,235,1,22.45,56.26
3327031,96,508,237,1,22.44,56.22
3327131,98,507,235,2,22.45,56.23
3327231,97,507,237,1,22.45,56.24
3327331,99,508,236,1,22.44,56.21
3327431,97,508,237,1,22.44,56.20
3327531,98,508,236,2,22.43,56.22
3327631,98,508,235,0,22.42,56.27
3327731,98,508,236,0,22.43,56.23
3327831,96,507,237,2,22.43,56.21
3327931,98,508,237,0,22.42,56.18
3328031,98,507,237,2,22.43,56.19
3328131,95,508,237,0,22.44,56.24
3328231,98,507,235,2,22.44,56.23
3328331,98,508,236,2,22.44,56.22
3328431,97,507,235,2,22.43,56.20
3328531,95,507,236,1,22.43,56.23
3328631,98,508,236,2,22.44,56.20
3328731,96,508,237,1,22.43,56.20
3328831,98,508,236,2,22.44,56.23
3328931,98,507,236,2,22.45,56.20
3329031,97,508,235,2,22.45,56.19
3329131,99,506,236,0,22.45,56.20
3329231,96,508,236,1,22.43,56.21
3329331,96,507,236,2,22.44,56.19
3329431,97,508,236,2,22.44,56.19
