timestamp,smoke,voc,co,flame,temp,hum
5673031,100,514,528,1,27.10,45.41
5673131,100,514,530,1,27.10,45.38
5673231,100,514,529,0,27.10,45.37
5673331,100,514,529,0,27.10,45.34
5673431,100,514,529,1,27.10,45.35
5673531,99,514,529,1,27.10,45.36
5673631,100,514,530,1,27.11,45.27
5673731,99,514,529,1,27.10,45.28
5673831,100,514,530,1,27.12,45.23
5673931,100,514,529,0,27.10,45.26
5674031,99,514,529,5,27.10,45.25
5674131,100,513,529,1,27.11,45.20
5674231,100,514,529,0,27.11,45.17
5674331,100,514,529,1,27.12,45.19
5674431,100,514,529,1,27.13,45.15
5674531,100,513,530,1,27.10,45.13
5674631,99,514,530,1,27.11,45.11
5674731,100,514,530,0,27.11,45.10
5674831,99,514,530,0,27.11,45.15
5674931,99,514,530,1,27.11,45.12
5675031,100,514,530,1,27.13,45.13
5675131,100,514,531,1,27.12,45.12
5675231,100,514,531,1,27.12,45.15
5675331,100,514,531,1,27.12,45.18
5675431,99,513,530,1,27.11,45.17
5675531,100,513,530,1,27.11,45.16
5675631,99,513,530,1,27.12,45.16
5675731,100,513,530,1,27.12,45.19
5675831,100,514,530,1,27.13,45.20
5675931,100,513,531,0,27.12,45.19
5676031,100,513,530,1,27.11,45.19
5676131,100,513,529,2,27.12,45.22
5676231,99,513,530,1,27.12,45.18
5676331,100,514,530,1,27.13,45.20
5676431,100,514,531,1,27.13,45.26
5676531,100,514,531,1,27.13,45.22
5676631,100,513,531,1,27.14,45.27
5676731,100,514,531,1,27.13,45.28
5676831,100,514,531,1,27.13,45.32
5676931,100,513,530,1,27.13,45.32
5677031,99,514,531,1,27.14,45.36
5677131,100,514,531,0,27.13,45.35
5677231,100,513,531,0,27.14,45.35
5677331,100,514,531,1,27.15,45.39
5677431,100,514,531,1,27.14,45.38
5677531,100,514,531,1,27.15,45.42
5677631,99,514,530,0,27.14,45.44
5677731,99,514,531,1,27.16,45.44
5677831,100,514,531,1,27.16,45.43
5677931,100,514,531,1,27.15,45.42
5678031,100,514,531,1,27.16,45.45
5678131,100,514,529,1,27.16,45.41
5678231,101,515,530,1,27.16,45.39
5678331,100,514,530,1,27.16,45.41
5678431,99,514,530,1,27.16,45.42
5678531,100,514,530,0,27.17,45.40
5678631,100,514,530,1,27.16,45.44
5678731,100,514,529,0,27.16,45.39
5678831,100,514,530,1,27.16,45.39
5678931,100,513,530,1,27.16,45.38
5679031,100,514,530,0,27.16,45.42
5679131,100,514,531,1,27.18,45.41
5679231,100,514,530,2,27.18,45.41
5679331,100,514,529,1,27.17,45.41
5679431,100,512,530,1,27.17,45.38
5679531,100,514,529,1,27.16,45.37
5679631,106,514,529,1,27.16,45.40
5679731,100,514,529,1,27.16,45.35
5679831,100,514,529,1,27.16,45.36
5679931,100,514,528,1,27.18,45.31
5680031,100,514,529,0,27.17,45.33
5680131,100,514,528,0,27.16,45.30
5680231,100,514,528,1,27.17,45.36
5680331,100,514,529,1,27.17,45.34
5680431,100,514,529,0,27.17,45.33
5680531,100,514,529,1,27.17,45.31
5680631,100,514,529,0,27.17,45.32
5680731,99,514,529,0,27.18,45.35
5680831,99,514,529,1,27.17,45.32
5680931,99,514,529,1,27.17,45.30
5681031,100,513,529,2,27.18,45.33
5681131,100,514,529,1,27.17,45.33
5681231,100,514,529,1,27.15,45.34
5681331,100,514,528,1,27.17,45.32
5681431,100,514,529,1,27.18,45.30
5681531,100,514,529,1,27.16,45.30
5681631,100,514,528,1,27.16,45.33
5681731,99,514,529,1,27.17,45.33
5681831,100,514,529,1,27.16,45.31
5681931,100,514,528,1,27.18,45.33
5682031,100,514,529,1,27.18,45.33
5682131,100,514,528,1,27.17,45.35
5682231,100,514,529,0,27.17,45.30
5682331,100,514,528,10,27.17,45.34
5682431,100,514,530,0,27.18,45.34
5682531,100,514,530,1,27.18,45.36
5682631,100,514,529,1,27.18,45.34
5682731,100,514,529,1,27.18,45.38
5682831,100,514,529,0,27.17,45.36
