timestamp,smoke,voc,co,flame,temp,hum
3824231,51,314,356,2,16.93,68.96
3824331,51,314,356,5,16.93,68.98
3824431,51,314,356,0,16.93,69.02
3824531,49,314,356,2,16.92,69.03
3824631,51,314,357,0,16.94,69.05
3824731,49,314,356,2,16.93,69.04
3824831,50,314,357,0,16.92,69.06
3824931,51,314,356,1,16.91,69.09
3825031,51,314,357,1,16.92,69.10
3825131,50,313,357,2,16.92,69.08
3825231,51,314,357,2,16.89,69.12
3825331,51,315,356,1,16.90,69.15
3825431,51,313,357,2,16.90,69.17
3825531,51,314,356,2,16.89,69.15
3825631,51,314,357,1,16.89,69.18
3825731,51,314,357,3,16.88,69.19
3825831,49,314,356,0,16.88,69.21
3825931,52,313,356,3,16.88,69.19
3826031,51,314,357,0,16.89,69.22
3826131,51,314,355,2,16.87,69.26
3826231,49,313,356,1,16.90,69.23
3826331,51,313,356,2,16.88,69.21
3826431,51,313,356,1,16.88,69.26
3826531,51,314,356,1,16.88,69.29
3826631,51,314,356,0,16.87,69.29
3826731,48,313,356,2,16.88,69.26
3826831,50,313,356,1,16.87,69.32
3826931,51,313,356,2,16.87,69.33
3827031,51,313,356,1,16.86,69.35
3827131,51,313,357,0,16.86,69.33
3827231,52,312,357,3,16.86,69.34
3827331,50,313,357,1,16.84,69.38
3827431,50,313,356,1,16.86,69.38
3827531,51,313,356,1,16.87,69.39
3827631,51,313,356,2,16.85,69.39
3827731,51,313,356,0,16.85,69.40
3827831,50,312,356,2,16.85,69.39
3827931,51,312,356,2,16.86,69.40
3828031,49,312,357,0,16.84,69.37
3828131,48,313,356,0,16.85,69.40
3828231,51,313,356,2,16.85,69.37
3828331,51,313,356,1,16.85,69.40
3828431,52,312,356,2,16.85,69.38
3828531,50,312,357,0,16.84,69.36
3828631,50,313,356,0,16.84,69.34
3828731,50,313,356,1,16.84,69.38
3828831,50,313,356,0,16.85,69.36
3828931,51,313,356,2,16.83,69.33
3829031,51,313,356,2,16.84,69.31
3829131,48,313,357,0,16.82,69.31
3829231,50,312,356,2,16.84,69.34
3829331,49,313,356,2,16.84,69.35
3829431,50,311,356,0,16.83,69.32
3829531,51,313,356,0,16.83,69.33
3829631,50,313,356,1,16.83,69.35
3829731,48,312,356,1,16.83,69.32
3829831,50,313,357,1,16.83,69.33
3829931,50,313,356,0,16.84,69.32
3830031,48,313,356,0,16.83,69.33
3830131,50,311,355,3,16.84,69.36
3830231,48,313,356,2,16.83,69.35
3830331,51,312,356,0,16.82,69.32
3830431,51,312,356,0,16.82,69.34
3830531,50,312,356,2,16.82,69.32
3830631,50,313,356,1,16.82,69.31
3830731,51,311,355,2,16.82,69.29
3830831,49,312,356,2,16.81,69.31
3830931,49,312,356,0,16.83,69.28
3831031,50,311,355,1,16.83,69.29
3831131,49,312,356,3,16.83,69.32
3831231,50,311,355,2,16.82,69.33
3831331,51,312,355,1,16.82,69.36
3831431,48,311,355,2,16.81,69.34
3831531,50,312,355,0,16.82,69.34
3831631,49,311,355,0,16.81,69.38
3831731,50,311,354,2,16.81,69.41
3831831,51,311,354,3,16.82,69.41
3831931,49,311,354,2,16.81,69.42
3832031,50,311,353,0,16.81,69.43
3832131,51,311,353,2,16.80,69.45
3832231,51,310,353,0,16.79,69.47
3832331,48,311,354,2,16.80,69.46
3832431,50,311,354,0,16.80,69.51
3832531,50,311,353,1,16.80,69.52
3832631,50,310,352,4,16.80,69.51
3832731,49,310,353,1,16.80,69.52
3832831,50,310,354,3,16.81,69.54
3832931,48,310,353,2,16.79,69.58
3833031,50,311,354,0,16.79,69.61
3833131,50,309,353,3,16.79,69.59
3833231,50,310,353,2,16.80,69.62
3833331,49,310,354,2,16.79,69.66
3833431,49,310,354,1,16.79,69.65
3833531,51,310,353,0,16.77,69.66
3833631,51,310,353,1,16.78,69.67
3833731,49,309,353,2,16.77,69.69
3833831,50,310,353,1,16.79,69.71
3833931,49,309,353,0,16.79,69.72
