time_ms,sensor,value
6089,Flame,173.0
7104,Flame,183.0
8119,Flame,144.0
9134,Flame,257.0
10149,Flame,280.0
11165,Flame,288.0
12181,Flame,192.0
13197,Flame,282.0
14213,Flame,170.0
15229,Flame,222.0
16245,Flame,186.0
17261,Flame,161.0
18277,Flame,262.0
19293,Flame,263.0
20309,Flame,223.0
21325,Flame,175.0
22341,Flame,223.0
23357,Flame,215.0
24373,Flame,247.0
25389,Flame,250.0
26405,Flame,227.0
27421,Flame,178.0
28437,Flame,184.0
29453,Flame,199.0
30469,Flame,133.0
31485,Flame,181.0
32501,Flame,199.0
33517,Flame,206.0
34533,Flame,131.0
35549,Flame,231.0
36565,Flame,194.0
37581,Flame,233.0
38597,Flame,190.0
39613,Flame,201.0
40629,Flame,233.0
41645,Flame,261.0
42661,Flame,238.0
43677,Flame,208.0
44693,Flame,193.0
45709,Flame,174.0
46725,Flame,81.0
47740,Flame,194.0
48756,Flame,214.0
49772,Flame,218.0
50788,Flame,253.0
51804,Flame,168.0
52820,Flame,227.0
53836,Flame,217.0
54852,Flame,187.0
55868,Flame,234.0
56884,Flame,185.0
57900,Flame,105.0
58916,Flame,104.0
59932,Flame,160.0
60948,Flame,170.0
61964,Flame,186.0
62980,Flame,208.0
63996,Flame,242.0
65012,Flame,158.0
66028,Flame,147.0
67044,Flame,172.0
68060,Flame,178.0
69076,Flame,203.0
70092,Flame,220.0
71108,Flame,218.0
72124,Flame,170.0
73140,Flame,230.0
74156,Flame,237.0
75172,Flame,186.0
76188,Flame,201.0
77204,Flame,227.0
78220,Flame,175.0
79236,Flame,197.0
80252,Flame,206.0
81268,Flame,216.0
82284,Flame,238.0
83300,Flame,224.0
84316,Flame,200.0
85332,Flame,215.0
86348,Flame,188.0
87364,Flame,170.0
88380,Flame,233.0
89396,Flame,204.0
90412,Flame,202.0
91428,Flame,169.0
92444,Flame,181.0
93460,Flame,255.0
94476,Flame,134.0
95492,Flame,148.0
96508,Flame,200.0
97524,Flame,213.0
98540,Flame,195.0
99556,Flame,160.0
100572,Flame,187.0
101589,Flame,216.0
102606,Flame,253.0
103623,Flame,191.0
104640,Flame,192.0
105657,Flame,151.0
106674,Flame,227.0
107691,Flame,269.0
108708,Flame,241.0
109725,Flame,187.0
110742,Flame,202.0
111759,Flame,118.0
112776,Flame,135.0
113793,Flame,210.0
114810,Flame,158.0
115827,Flame,157.0
116844,Flame,204.0
117861,Flame,170.0
118878,Flame,117.0
119895,Flame,108.0
120912,Flame,214.0
121929,Flame,200.0
122946,Flame,215.0
123963,Flame,269.0
124980,Flame,172.0
125997,Flame,223.0
127014,Flame,260.0
128031,Flame,205.0
129048,Flame,220.0
130065,Flame,306.0
131082,Flame,283.0
132099,Flame,284.0
133116,Flame,252.0
134133,Flame,235.0
135150,Flame,150.0
136167,Flame,185.0
137184,Flame,213.0
138201,Flame,249.0
139218,Flame,164.0
140235,Flame,159.0
141252,Flame,260.0
142269,Flame,221.0
143286,Flame,185.0
144303,Flame,240.0
145320,Flame,262.0
146337,Flame,187.0
147354,Flame,257.0
148371,Flame,238.0
149388,Flame,255.0
150405,Flame,182.0
151422,Flame,153.0
152439,Flame,107.0
153456,Flame,165.0
154473,Flame,144.0
155490,Flame,201.0
156507,Flame,221.0
157524,Flame,263.0
158541,Flame,208.0
159558,Flame,248.0
160575,Flame,229.0
161592,Flame,239.0
162609,Flame,237.0
163626,Flame,208.0
164643,Flame,167.0
165660,Flame,218.0
166677,Flame,240.0
167694,Flame,207.0
168711,Flame,225.0
169728,Flame,289.0
170745,Flame,256.0
171762,Flame,169.0
172779,Flame,281.0
173796,Flame,304.0
174813,Flame,255.0
175830,Flame,266.0
176847,Flame,251.0
177864,Flame,238.0
178881,Flame,236.0
179898,Flame,295.0
180915,Flame,268.0
181932,Flame,219.0
182949,Flame,281.0
183966,Flame,254.0
184983,Flame,239.0
186000,Flame,224.0
187017,Flame,219.0
188034,Flame,204.0
189051,Flame,175.0
190068,Flame,212.0
191085,Flame,235.0
192102,Flame,220.0
193119,Flame,211.0
194136,Flame,265.0
195153,Flame,258.0
196170,Flame,214.0
197187,Flame,268.0
198204,Flame,235.0
199221,Flame,150.0
200238,Flame,258.0
201255,Flame,230.0
202272,Flame,239.0
203289,Flame,213.0
204306,Flame,213.0
205323,Flame,227.0
206340,Flame,254.0
207357,Flame,234.0
208374,Flame,160.0
209391,Flame,216.0
210408,Flame,237.0
211425,Flame,220.0
212442,Flame,252.0
213459,Flame,285.0
214476,Flame,213.0
215493,Flame,250.0
