time_ms,voc
188945,258
189956,258
190967,259
191978,258
192989,258
194000,258
195011,257
196022,258
197033,258
198044,257
199055,258
200066,258
201077,257
202088,258
203099,257
204110,258
205121,258
206132,257
207143,258
208154,258
209165,257
210176,258
211187,258
212198,257
213209,258
214220,257
215231,257
216242,258
217253,257
218264,257
219275,258
220286,257
221297,257
222308,258
223319,256
224330,257
225341,257
226352,256
227363,257
228374,257
229385,256
230396,257
231407,256
232418,257
233429,257
234440,256
235451,257
236462,257
237473,256
238484,257
239495,256
240506,256
241517,257
242528,256
243539,257
244550,257
245561,256
246572,257
247583,256
248594,256
249605,257
250616,256
251627,257
252638,257
253649,256
254660,257
255671,256
256682,256
257693,257
258704,256
259715,257
260726,256
261737,256
262748,257
263759,256
264770,256
265781,257
266792,256
267803,257
268814,256
269825,256
270836,257
271847,256
272858,257
273869,256
274880,256
275891,257
276902,256
277913,256
278924,256
279935,255
280946,257
281957,256
282968,256
283979,256
284990,255
286001,256
287012,256
288023,255
289034,256
290045,256
291056,256
292067,256
293078,255
294089,256
295100,256
296111,255
297122,256
298133,256
299144,256
300155,256
