time_ms,sensor,value
209788,CO,194.0
210802,CO,194.0
211816,CO,197.0
212830,CO,198.0
213844,CO,200.0
214858,CO,200.0
215872,CO,199.0
216886,CO,199.0
217900,CO,197.0
218914,CO,197.0
219928,CO,198.0
220942,CO,195.0
221956,CO,192.0
222970,CO,192.0
223984,CO,194.0
224998,CO,194.0
226012,CO,198.0
227026,CO,196.0
228040,CO,194.0
229054,CO,193.0
230068,CO,195.0
231082,CO,195.0
232096,CO,195.0
233110,CO,195.0
234124,CO,193.0
235138,CO,193.0
236152,CO,194.0
237166,CO,194.0
238180,CO,194.0
239194,CO,193.0
240208,CO,193.0
241222,CO,194.0
242236,CO,192.0
243250,CO,193.0
244264,CO,192.0
245278,CO,192.0
246292,CO,194.0
247306,CO,194.0
248320,CO,196.0
249334,CO,195.0
250348,CO,195.0
251362,CO,196.0
252376,CO,193.0
253390,CO,194.0
254404,CO,193.0
255418,CO,192.0
256432,CO,192.0
257446,CO,192.0
258460,CO,192.0
259474,CO,191.0
260488,CO,192.0
261502,CO,190.0
262516,CO,191.0
263530,CO,189.0
264544,CO,191.0
265558,CO,190.0
266572,CO,191.0
267586,CO,193.0
268600,CO,191.0
269614,CO,192.0
270628,CO,195.0
271642,CO,194.0
272656,CO,198.0
273670,CO,195.0
274684,CO,197.0
275698,CO,196.0
276712,CO,194.0
277726,CO,194.0
278740,CO,195.0
279754,CO,194.0
280768,CO,193.0
281782,CO,191.0
282796,CO,193.0
283810,CO,190.0
284824,CO,191.0
285838,CO,189.0
286852,CO,192.0
287866,CO,192.0
288880,CO,190.0
289894,CO,193.0
290908,CO,192.0
291922,CO,193.0
292936,CO,191.0
293950,CO,195.0
294964,CO,198.0
295978,CO,198.0
296992,CO,196.0
298006,CO,195.0
299020,CO,197.0
300034,CO,196.0
301048,CO,193.0
302062,CO,193.0
303076,CO,194.0
304090,CO,196.0
305104,CO,197.0
306118,CO,196.0
307132,CO,195.0
308146,CO,197.0
309160,CO,199.0
310174,CO,198.0
311188,CO,196.0
312202,CO,199.0
313216,CO,198.0
314230,CO,198.0
315244,CO,198.0
316258,CO,200.0
317272,CO,202.0
318286,CO,199.0
319300,CO,200.0
320314,CO,200.0
321328,CO,201.0
322342,CO,205.0
323356,CO,205.0
324370,CO,203.0
325384,CO,204.0
326398,CO,201.0
327412,CO,202.0
328426,CO,202.0
329440,CO,200.0
330454,CO,201.0
331468,CO,203.0
332482,CO,200.0
333496,CO,204.0
334510,CO,202.0
335524,CO,202.0
336538,CO,202.0
337552,CO,199.0
338566,CO,199.0
339580,CO,197.0
340594,CO,198.0
341608,CO,199.0
342622,CO,196.0
343636,CO,196.0
344650,CO,199.0
345664,CO,204.0
346678,CO,204.0
347692,CO,203.0
348706,CO,200.0
349720,CO,200.0
350734,CO,202.0
351748,CO,199.0
352762,CO,198.0
353776,CO,197.0
354790,CO,194.0
355804,CO,198.0
356818,CO,199.0
357832,CO,198.0
358846,CO,196.0
359860,CO,194.0
360874,CO,199.0
361888,CO,202.0
362902,CO,200.0
363916,CO,198.0
364930,CO,200.0
365944,CO,200.0
366958,CO,201.0
367972,CO,203.0
368986,CO,203.0
370000,CO,204.0
371014,CO,202.0
372028,CO,205.0
373042,CO,202.0
374056,CO,199.0
375070,CO,198.0
376084,CO,198.0
377098,CO,202.0
378112,CO,202.0
379126,CO,198.0
380140,CO,197.0
381154,CO,197.0
382168,CO,197.0
