time_ms,sensor,value
4043,CO,91.0
5054,CO,91.0
6065,CO,91.0
7076,CO,91.0
8087,CO,92.0
9098,CO,89.0
10109,CO,91.0
11121,CO,91.0
12133,CO,92.0
13145,CO,93.0
14157,CO,92.0
15169,CO,95.0
16181,CO,95.0
17193,CO,95.0
18205,CO,97.0
19217,CO,95.0
20229,CO,92.0
21241,CO,93.0
22253,CO,94.0
23265,CO,93.0
24277,CO,96.0
25289,CO,97.0
26301,CO,97.0
27313,CO,96.0
28325,CO,94.0
29337,CO,92.0
30349,CO,94.0
31361,CO,93.0
32373,CO,93.0
33385,CO,91.0
34397,CO,89.0
35409,CO,87.0
36421,CO,87.0
37433,CO,85.0
38445,CO,86.0
39457,CO,85.0
40469,CO,86.0
41481,CO,84.0
42493,CO,86.0
43505,CO,85.0
44517,CO,82.0
45529,CO,84.0
46541,CO,83.0
47553,CO,84.0
48565,CO,87.0
49577,CO,85.0
50589,CO,87.0
51601,CO,88.0
52613,CO,88.0
53625,CO,88.0
54637,CO,87.0
55649,CO,88.0
56661,CO,88.0
57673,CO,87.0
58685,CO,85.0
59697,CO,88.0
60709,CO,87.0
61721,CO,88.0
62733,CO,87.0
63745,CO,86.0
64757,CO,88.0
65769,CO,90.0
66781,CO,91.0
67793,CO,89.0
68805,CO,92.0
69817,CO,89.0
70829,CO,89.0
71841,CO,90.0
72853,CO,89.0
73865,CO,88.0
74877,CO,89.0
75889,CO,87.0
76901,CO,87.0
77913,CO,91.0
78925,CO,91.0
79937,CO,92.0
80949,CO,88.0
81961,CO,89.0
82973,CO,89.0
83985,CO,90.0
84997,CO,90.0
86009,CO,91.0
87021,CO,89.0
88033,CO,91.0
89045,CO,90.0
90057,CO,91.0
91069,CO,90.0
92081,CO,89.0
93093,CO,89.0
94105,CO,90.0
95117,CO,91.0
96129,CO,88.0
97141,CO,89.0
98153,CO,89.0
99165,CO,90.0
100177,CO,89.0
101190,CO,89.0
102203,CO,89.0
103216,CO,89.0
104229,CO,90.0
105242,CO,86.0
106255,CO,88.0
107268,CO,88.0
108281,CO,90.0
109294,CO,87.0
110307,CO,88.0
111320,CO,89.0
112333,CO,89.0
113346,CO,90.0
114359,CO,90.0
115372,CO,89.0
116385,CO,87.0
117398,CO,88.0
118411,CO,90.0
119424,CO,89.0
120437,CO,90.0
121450,CO,92.0
122463,CO,92.0
123476,CO,91.0
124489,CO,91.0
125502,CO,91.0
126515,CO,93.0
127528,CO,91.0
128541,CO,90.0
129554,CO,94.0
130567,CO,93.0
131580,CO,95.0
132593,CO,94.0
133606,CO,94.0
134619,CO,92.0
135632,CO,93.0
136645,CO,93.0
137658,CO,92.0
138671,CO,93.0
139684,CO,92.0
140697,CO,91.0
141710,CO,91.0
142723,CO,90.0
143736,CO,90.0
144749,CO,89.0
145762,CO,90.0
146775,CO,91.0
147788,CO,92.0
148801,CO,93.0
149814,CO,90.0
150827,CO,92.0
151840,CO,91.0
152853,CO,93.0
153866,CO,91.0
154879,CO,92.0
155892,CO,88.0
156905,CO,90.0
157918,CO,87.0
158931,CO,86.0
159944,CO,84.0
160957,CO,81.0
161970,CO,84.0
162983,CO,84.0
163996,CO,83.0
165009,CO,83.0
166022,CO,82.0
167035,CO,84.0
168048,CO,84.0
169061,CO,85.0
170074,CO,85.0
171087,CO,85.0
172100,CO,84.0
173113,CO,84.0
174126,CO,83.0
175139,CO,82.0
176152,CO,82.0
177165,CO,79.0
178178,CO,81.0
179191,CO,82.0
180204,CO,85.0
181217,CO,86.0
182230,CO,87.0
183243,CO,85.0
184256,CO,88.0
185269,CO,85.0
186282,CO,85.0
187295,CO,87.0
188308,CO,87.0
189321,CO,87.0
190334,CO,87.0
191347,CO,89.0
192360,CO,87.0
193373,CO,88.0
194386,CO,90.0
195399,CO,87.0
196412,CO,85.0
197425,CO,84.0
198438,CO,87.0
199451,CO,86.0
200464,CO,85.0
201477,CO,82.0
202490,CO,82.0
203503,CO,84.0
204516,CO,83.0
205529,CO,82.0
206542,CO,82.0
207555,CO,80.0
208568,CO,79.0
209581,CO,80.0
210594,CO,80.0
