time_ms,sensor,value
7104,Flame,263.0
8119,Flame,288.0
9134,Flame,285.0
10149,Flame,300.0
11165,Flame,283.0
12181,Flame,345.0
13197,Flame,306.0
14213,Flame,247.0
15229,Flame,344.0
16245,Flame,330.0
17261,Flame,351.0
18277,Flame,320.0
19293,Flame,320.0
20309,Flame,278.0
21325,Flame,365.0
22341,Flame,429.0
23357,Flame,314.0
24373,Flame,356.0
25389,Flame,356.0
26405,Flame,253.0
27421,Flame,313.0
28437,Flame,294.0
29453,Flame,235.0
30469,Flame,320.0
31485,Flame,163.0
32501,Flame,269.0
33517,Flame,299.0
34533,Flame,319.0
35549,Flame,366.0
36565,Flame,364.0
37581,Flame,303.0
38597,Flame,359.0
39613,Flame,325.0
40629,Flame,325.0
41645,Flame,334.0
42661,Flame,334.0
43677,Flame,342.0
44693,Flame,326.0
45709,Flame,347.0
46725,Flame,365.0
47741,Flame,336.0
48757,Flame,323.0
49773,Flame,334.0
50789,Flame,329.0
51805,Flame,313.0
52821,Flame,255.0
53837,Flame,336.0
54853,Flame,288.0
55869,Flame,289.0
56885,Flame,271.0
57901,Flame,340.0
58917,Flame,294.0
59933,Flame,383.0
60949,Flame,262.0
61965,Flame,291.0
62981,Flame,303.0
63997,Flame,326.0
65013,Flame,348.0
66029,Flame,306.0
67045,Flame,302.0
68061,Flame,341.0
69077,Flame,300.0
70093,Flame,310.0
71109,Flame,287.0
72125,Flame,289.0
73141,Flame,286.0
74157,Flame,270.0
75173,Flame,307.0
76189,Flame,276.0
77205,Flame,291.0
78221,Flame,321.0
79237,Flame,310.0
80253,Flame,337.0
81269,Flame,321.0
82285,Flame,324.0
83301,Flame,337.0
84317,Flame,337.0
85333,Flame,355.0
86349,Flame,354.0
87365,Flame,311.0
88381,Flame,291.0
89397,Flame,313.0
90413,Flame,393.0
91429,Flame,967.0
92445,Flame,957.0
93461,Flame,961.0
94477,Flame,956.0
95493,Flame,949.0
96509,Flame,958.0
97525,Flame,969.0
98541,Flame,965.0
99557,Flame,966.0
100573,Flame,966.0
101590,Flame,967.0
102607,Flame,966.0
103624,Flame,971.0
104641,Flame,967.0
105658,Flame,968.0
106675,Flame,967.0
107692,Flame,970.0
108709,Flame,969.0
109726,Flame,961.0
110743,Flame,966.0
111760,Flame,966.0
112777,Flame,962.0
113794,Flame,964.0
114811,Flame,968.0
115828,Flame,965.0
116845,Flame,965.0
117862,Flame,964.0
118879,Flame,958.0
119896,Flame,965.0
120913,Flame,966.0
121930,Flame,958.0
122947,Flame,968.0
